,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,47,308,39,7,161,395,381,124,178
1,336,361,315,113,365,287,353,253,93
2,370,217,426,357,168,344,495,22,185
3,100,256,159,375,165,183,70,360,174
4,407,67,142,440,221,318,246,497,456
5,70,300,469,468,144,215,159,109,183
6,169,118,268,118,305,5,395,429,315
7,486,18,390,198,126,168,367,2,302
8,290,473,219,130,315,110,205,488,131
9,194,192,228,438,133,110,163,15,365
10,32,44,51,269,108,216,208,376,270
11,191,106,73,231,41,50,37,72,429
12,213,378,311,221,454,410,382,497,99
13,474,356,170,48,11,65,64,451,460
14,448,473,163,354,293,170,453,81,478
15,412,86,78,179,151,45,21,241,243
16,63,298,77,86,486,456,468,444,59
17,299,271,410,147,249,228,271,4,225
18,138,360,85,29,208,21,74,53,409
19,172,251,456,437,488,448,127,484,181
20,323,443,162,463,159,158,40,447,33
21,392,459,313,53,395,476,104,159,128
22,267,183,444,89,141,214,109,396,242
23,482,223,375,249,171,199,465,247,76
24,270,57,343,10,135,363,236,389,322
25,185,438,251,438,203,231,157,424,474
26,173,21,252,246,70,344,489,170,43
27,215,204,273,463,131,15,185,30,139
28,335,289,144,281,444,399,476,269,16
29,298,162,109,230,14,145,348,462,128
30,354,151,376,126,310,458,231,237,284
31,100,485,366,33,179,129,260,132,439
32,177,237,91,251,30,182,241,322,158
33,1,290,407,452,147,360,295,335,12
34,455,405,481,466,191,345,361,437,268
35,129,161,468,143,448,16,183,216,130
36,201,199,20,293,55,362,498,173,100
37,217,29,482,296,458,180,380,306,24
38,335,278,227,442,72,383,352,293,414
39,4,418,96,352,117,127,390,139,481
40,451,290,211,10,476,7,185,53,50
41,484,358,176,388,26,28,476,14,89
42,67,39,307,130,353,332,405,106,208
43,342,13,431,250,123,112,91,396,451
44,279,434,21,120,316,491,484,390,375
45,75,418,160,42,140,138,482,136,357
46,418,29,233,338,61,195,131,451,398
47,107,131,295,461,26,380,142,91,423
48,244,367,423,161,478,227,61,183,493
49,396,272,126,264,347,244,345,117,91
50,54,143,391,249,394,400,163,243,36
51,473,195,82,351,497,151,249,306,367
52,474,163,58,25,242,482,249,282,154
53,285,462,434,399,334,89,97,483,491
54,464,260,234,200,29,489,384,114,169
55,431,61,381,304,240,60,314,6,283
56,296,309,64,308,406,489,130,108,34
57,409,42,342,126,279,392,462,229,311
58,446,458,17,104,248,284,172,409,262
59,209,110,214,109,355,479,287,290,235
60,445,321,197,385,24,412,486,296,67
61,136,248,79,413,472,323,300,222,166
62,86,72,65,68,443,468,493,328,403
63,106,15,364,102,94,380,479,211,223
64,148,140,277,474,102,303,208,297,445
65,319,321,21,323,35,248,1,391,300
66,226,75,25,34,54,269,213,94,494
67,311,43,477,167,483,299,137,80,188
68,301,491,442,268,228,48,202,180,100
69,256,94,151,244,444,220,78,127,375
70,118,406,367,297,483,179,80,391,130
71,432,23,439,215,394,341,396,227,389
72,114,121,195,210,225,140,198,130,431
73,27,5,99,223,99,247,139,101,99
74,388,210,392,364,251,368,408,479,201
75,301,418,494,321,280,354,459,422,402
76,265,5,317,71,216,89,467,207,53
77,375,263,130,179,13,407,295,440,459
78,80,357,387,46,227,145,449,109,413
79,407,197,152,21,476,57,464,127,471
80,25,93,299,29,24,56,167,79,116
81,126,469,116,186,52,446,376,375,71
82,397,437,343,32,142,426,48,477,474
83,285,242,254,333,303,129,225,398,76
84,499,69,479,491,241,107,97,273,124
85,231,305,290,36,168,175,52,111,480
86,282,5,422,479,155,20,479,360,443
87,393,426,46,422,303,58,75,375,7
88,345,199,55,185,425,260,119,287,156
89,307,135,135,199,160,366,109,152,336
90,363,278,405,1,385,328,125,254,253
91,311,488,123,256,328,269,452,387,136
92,411,189,252,307,216,499,290,75,428
93,273,8,293,238,272,318,405,149,161
94,16,121,465,460,493,488,469,282,35
95,316,429,373,339,66,78,214,70,149
96,11,246,288,458,8,116,308,464,371
97,23,76,271,119,491,387,260,226,165
98,330,367,470,139,408,124,366,486,143
99,16,206,37,231,194,24,417,212,207
100,212,360,85,244,87,416,113,220,461
101,397,220,250,191,31,275,281,397,4
102,211,221,83,464,443,18,327,53,44
103,156,244,440,447,187,376,456,436,298
104,13,257,78,287,46,283,220,323,152
105,265,380,130,151,78,341,353,413,499
106,171,259,255,169,16,127,148,90,333
107,419,101,58,469,341,485,499,4,171
108,140,26,34,384,192,328,9,177,16
109,412,367,410,146,490,249,142,448,380
110,187,324,261,139,163,326,272,324,440
111,284,406,222,289,26,243,303,427,470
112,232,62,80,270,375,494,89,27,192
113,193,454,141,422,122,78,261,187,84
114,398,431,399,378,256,24,210,301,405
115,145,395,387,187,430,7,474,223,462
116,250,175,425,138,382,348,124,197,432
117,44,193,329,158,337,293,384,404,166
118,450,324,180,178,334,60,223,92,209
119,345,132,456,172,149,475,489,244,473
120,315,408,1,403,192,30,145,296,109
121,345,464,218,60,104,388,67,337,347
122,381,440,297,472,119,178,346,192,57
123,276,193,128,399,492,391,135,229,129
124,308,257,468,252,182,50,32,250,23
125,183,277,208,84,110,395,483,126,467
126,214,407,97,356,461,127,91,305,418
127,15,110,125,409,128,197,391,249,188
128,343,297,390,328,250,167,321,88,61
129,137,25,438,243,85,86,457,480,330
130,255,124,44,181,156,451,442,314,85
131,74,306,461,439,371,256,82,429,55
132,50,210,160,440,35,373,431,449,1
133,123,403,225,357,311,484,245,397,398
134,390,438,371,376,446,220,235,289,12
135,11,67,498,12,114,141,449,446,467
136,478,55,341,362,249,387,269,465,19
137,136,269,470,28,426,29,134,69,386
138,376,323,62,255,2,436,346,281,202
139,375,219,468,55,335,84,225,12,207
140,467,72,173,467,103,296,189,116,99
141,124,391,342,211,339,103,120,173,445
142,236,66,406,55,70,448,413,108,365
143,196,496,237,65,440,102,75,303,495
144,432,175,198,467,459,176,416,398,317
145,323,452,413,320,365,4,93,354,455
146,206,325,9,330,221,484,174,426,387
147,188,419,57,8,110,298,159,10,462
148,348,285,267,1,153,39,185,144,410
149,411,91,287,105,428,409,196,157,307
150,410,180,323,299,110,463,193,480,255
151,322,125,397,138,251,351,95,298,374
152,314,150,458,197,87,409,487,420,153
153,371,157,418,125,171,309,491,435,69
154,125,51,252,46,19,44,219,493,432
155,213,315,45,134,84,58,13,194,441
156,65,199,390,62,191,342,382,131,140
157,12,357,23,73,264,181,277,22,416
158,196,151,364,158,78,218,424,135,190
159,426,412,485,350,21,140,11,481,452
160,442,361,374,38,282,365,301,167,309
161,190,3,234,93,212,290,241,7,475
162,371,218,237,317,203,355,308,440,318
163,469,341,269,224,75,36,499,401,106
164,459,127,484,182,207,189,295,396,309
165,227,303,365,32,486,344,33,191,336
166,355,265,317,111,417,464,132,70,165
167,169,92,443,259,477,388,325,84,327
168,203,248,183,398,494,124,147,71,271
169,42,395,44,194,228,39,463,25,132
170,169,454,248,80,18,304,305,421,354
171,241,372,65,297,216,130,177,458,497
172,340,427,348,275,321,445,55,225,15
173,483,430,379,140,101,169,369,198,195
174,168,296,340,283,199,328,245,1,189
175,275,400,258,52,440,190,41,203,245
176,120,423,70,129,336,61,207,151,66
177,180,120,153,341,400,59,420,127,39
178,71,430,146,81,229,87,232,495,76
179,420,294,452,131,363,22,184,42,319
180,413,316,484,395,213,435,49,111,392
181,382,387,452,442,319,379,499,152,189
182,275,144,77,370,169,232,392,61,409
183,469,150,95,350,135,298,434,259,456
184,374,259,364,474,437,132,394,334,187
185,486,39,184,8,99,343,155,321,58
186,346,201,441,4,468,255,328,369,120
187,467,201,414,261,376,492,387,475,184
188,292,434,312,166,298,277,198,70,291
189,495,32,161,161,245,150,69,427,55
190,203,360,379,182,374,199,150,109,243
191,365,288,481,231,270,51,120,235,332
192,123,268,193,400,82,180,178,326,434
193,90,495,254,145,305,487,435,43,343
194,184,175,360,100,26,422,474,138,476
195,368,288,286,482,88,79,432,150,75
196,166,216,371,431,387,460,408,216,312
197,258,16,217,366,489,414,72,270,430
198,4,463,310,312,431,336,451,168,309
199,233,325,207,138,92,363,487,310,277
200,196,102,100,88,340,487,123,327,365
201,354,19,183,310,386,184,254,149,34
202,268,98,160,37,56,101,129,474,378
203,476,287,451,423,372,257,333,153,74
204,336,112,37,231,321,383,300,272,306
205,105,29,185,3,322,272,12,170,212
206,259,118,383,141,81,409,347,12,296
207,158,155,415,11,206,178,302,202,370
208,337,276,183,462,159,467,370,61,307
209,259,440,281,328,411,431,199,59,145
210,271,411,381,240,49,181,183,221,450
211,213,211,62,414,483,95,230,377,441
212,446,492,46,117,37,372,160,152,388
213,66,223,353,232,25,105,130,423,242
214,395,169,276,297,8,474,111,98,384
215,319,203,311,264,17,448,137,281,55
216,472,279,109,217,270,154,74,52,377
217,350,342,419,487,446,196,155,438,265
218,397,106,196,241,337,75,68,50,47
219,279,261,467,459,247,116,176,492,108
220,342,241,480,373,388,499,337,247,91
221,14,65,94,477,218,461,2,227,422
222,486,410,28,5,318,269,415,413,467
223,458,162,127,310,473,355,79,50,31
224,219,311,421,440,377,94,114,45,294
225,436,62,241,42,444,239,80,19,342
226,237,433,211,246,259,186,63,322,258
227,113,452,263,181,288,457,273,191,2
228,53,208,147,459,209,290,308,78,37
229,154,364,156,388,339,182,171,164,341
230,265,95,213,301,298,214,211,483,42
231,354,95,349,264,464,326,299,80,294
232,431,26,264,279,480,295,219,278,66
233,214,141,64,192,273,147,174,425,174
234,449,150,374,61,212,475,12,249,315
235,397,492,57,153,42,357,368,383,486
236,301,255,60,410,161,113,260,382,21
237,152,408,55,454,297,300,376,254,313
238,157,374,444,170,387,486,464,21,342
239,467,489,121,96,256,379,323,122,402
240,402,148,316,34,450,397,65,28,58
241,483,217,62,115,21,330,188,476,361
242,194,146,406,496,183,129,246,372,19
243,428,206,463,320,498,257,235,94,93
244,60,155,426,62,170,299,187,51,26
245,7,20,399,469,147,262,372,71,182
246,269,470,322,318,263,468,337,173,263
247,36,447,424,233,415,384,70,169,333
248,348,279,171,227,368,382,352,142,364
249,78,52,312,196,397,260,265,14,112
250,153,28,54,346,383,27,3,394,82
251,305,290,160,477,251,425,378,83,481
252,189,132,25,458,3,81,274,181,398
253,149,461,466,45,138,312,386,110,385
254,119,36,147,419,265,72,401,261,121
255,337,88,236,148,252,474,287,81,396
256,121,499,294,177,77,142,353,203,328
257,223,115,218,425,84,225,316,13,469
258,390,69,220,472,453,401,378,21,337
259,243,57,409,200,49,263,277,298,411
260,441,478,443,474,136,39,358,74,135
261,370,274,332,52,133,482,139,228,336
262,406,114,108,495,494,381,30,302,459
263,382,219,277,205,158,329,45,429,53
264,118,259,251,492,105,326,171,93,319
265,4,233,301,294,447,119,357,386,2
266,356,199,441,76,61,77,160,155,158
267,216,394,162,211,344,72,460,308,344
268,429,265,188,62,184,427,244,89,481
269,178,223,450,210,26,344,205,123,454
270,135,32,496,46,65,471,484,140,344
271,483,272,385,380,207,29,62,15,445
272,360,76,356,402,248,83,367,63,56
273,267,228,53,49,77,229,468,316,291
274,85,247,330,310,432,247,316,169,315
275,29,411,498,388,83,485,448,201,101
276,290,339,499,414,404,435,265,395,346
277,175,52,487,413,249,117,322,316,34
278,323,252,285,438,103,496,235,99,49
279,36,332,28,281,82,494,378,421,158
280,295,90,364,228,174,295,445,172,481
281,432,285,9,13,6,69,59,389,172
282,83,26,497,462,144,108,99,211,87
283,27,432,298,326,117,228,342,400,360
284,112,71,237,269,7,131,415,49,169
285,29,293,402,312,42,264,373,436,252
286,397,55,374,66,251,281,496,233,415
287,474,100,216,393,27,361,73,119,417
288,305,376,243,112,356,238,111,450,93
289,239,232,453,119,410,307,204,359,186
290,272,246,143,236,279,425,152,328,112
291,32,305,85,89,227,346,433,66,150
292,74,123,49,69,253,148,58,353,233
293,57,21,249,494,424,464,71,16,15
294,157,298,355,393,8,248,497,448,35
295,191,81,316,206,288,353,255,284,30
296,225,440,42,343,15,414,222,488,189
297,422,409,496,293,335,221,94,259,97
298,485,298,394,372,380,484,187,497,142
299,215,469,178,175,170,47,53,236,176
300,124,350,4,257,51,313,365,238,112
301,66,300,400,301,433,439,274,325,133
302,440,446,339,466,91,365,150,19,346
303,270,152,475,474,185,169,311,314,212
304,167,50,364,11,280,60,348,358,422
305,421,259,194,144,255,320,346,468,354
306,394,427,187,45,203,358,159,44,250
307,439,385,475,131,252,116,281,178,122
308,66,116,50,287,406,196,152,88,29
309,311,263,101,482,275,450,455,298,93
310,378,452,133,27,152,209,297,177,477
311,282,53,77,158,130,310,417,147,114
312,320,402,322,271,445,281,366,35,408
313,141,271,396,452,347,61,350,3,168
314,94,44,14,277,342,248,300,321,91
315,273,314,3,489,405,64,94,427,317
316,21,14,434,230,185,452,210,227,337
317,182,353,176,122,448,388,39,329,495
318,328,251,440,39,412,184,270,325,158
319,100,121,424,23,353,215,280,440,94
320,203,300,471,257,272,41,339,291,14
321,345,416,154,109,52,123,1,273,354
322,204,262,258,375,473,305,40,119,268
323,194,51,422,122,235,410,406,422,439
324,32,387,404,430,329,98,240,249,2
325,154,358,23,11,244,396,188,361,60
326,282,88,184,394,264,419,215,141,324
327,498,224,97,327,281,74,363,200,254
328,79,135,91,461,234,310,86,411,217
329,93,481,255,463,223,367,368,194,295
330,210,225,116,334,59,371,76,49,93
331,407,161,98,242,415,83,376,377,262
332,497,480,46,6,39,281,495,201,146
333,72,493,143,2,336,420,413,464,86
334,336,49,266,26,54,88,349,379,459
335,377,335,216,273,296,473,444,160,307
336,385,278,36,192,194,115,489,175,268
337,374,91,108,114,242,491,330,494,234
338,331,26,435,469,235,229,183,285,225
339,237,96,193,394,176,388,419,452,240
340,377,84,178,234,6,187,346,374,186
341,298,285,375,290,107,217,375,330,15
342,161,454,256,8,318,303,245,406,367
343,336,299,277,478,495,49,461,97,332
344,208,246,197,109,195,105,140,119,272
345,325,90,448,23,162,343,377,270,419
346,468,8,109,275,129,21,253,258,89
347,280,159,422,122,281,259,370,324,175
348,64,443,23,290,69,477,172,463,161
349,367,257,416,114,399,76,480,94,75
350,16,480,168,239,217,15,215,260,202
351,455,491,26,407,127,304,224,221,117
352,324,431,51,482,252,293,186,207,476
353,247,168,34,439,37,91,61,458,250
354,479,206,385,432,240,156,245,183,154
355,407,360,74,85,124,240,420,19,285
356,265,326,24,400,457,49,175,113,331
357,372,37,240,456,27,382,246,473,89
358,158,67,49,90,377,250,49,52,120
359,362,224,204,399,27,461,265,320,365
360,437,166,168,236,13,110,387,38,276
361,360,428,415,269,18,253,313,9,157
362,130,307,210,417,268,368,259,111,196
363,419,174,220,471,215,35,250,368,66
364,429,242,367,104,14,185,307,139,9
365,465,30,490,267,272,452,318,54,250
366,394,443,493,143,330,214,417,299,28
367,121,393,68,60,488,156,417,219,27
368,476,114,103,77,195,66,69,372,474
369,232,420,345,162,327,473,86,28,154
370,288,25,343,56,359,11,146,365,197
371,482,291,205,189,429,218,82,291,314
372,179,247,371,235,431,99,332,156,155
373,164,490,242,197,179,250,378,306,389
374,428,96,260,80,353,471,94,202,164
375,155,23,475,260,292,354,132,377,304
376,1,464,406,10,148,158,461,284,265
377,223,354,151,359,200,122,291,279,407
378,94,4,418,200,435,484,433,154,425
379,271,84,57,477,363,58,358,186,21
380,302,136,190,191,238,381,241,346,2
381,169,196,231,263,93,162,430,154,181
382,377,298,391,329,434,404,455,466,352
383,437,153,263,397,372,374,76,332,390
384,396,14,415,319,69,23,158,290,300
385,390,399,63,56,10,472,141,79,445
386,415,479,87,67,164,440,264,405,430
387,14,215,90,181,176,234,423,183,179
388,202,152,250,404,418,289,49,456,119
389,442,141,134,55,21,215,68,295,255
390,281,52,451,400,464,138,114,218,380
391,9,488,172,210,446,178,454,277,451
392,491,486,176,303,333,25,499,59,230
393,346,338,452,480,39,205,133,428,476
394,202,459,296,244,469,276,226,447,153
395,379,342,477,298,20,456,19,244,333
396,87,6,144,37,376,304,225,15,343
397,490,160,210,185,99,463,260,242,308
398,421,187,469,92,486,165,36,318,451
399,111,313,79,33,352,487,339,292,36
400,405,221,22,70,346,151,93,432,359
401,383,44,207,197,476,201,376,112,133
402,138,185,475,350,162,132,477,199,297
403,88,405,177,32,279,81,366,291,179
404,299,224,295,422,240,229,431,478,469
405,56,367,177,185,97,412,247,194,169
406,367,193,143,408,280,301,342,288,280
407,496,379,184,400,92,194,64,25,40
