,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,310,338,274,465,493,96,112,46,239
1,401,466,272,81,395,148,278,392,162
2,8,37,62,99,330,393,181,51,146
3,267,63,478,380,372,416,169,139,182
4,138,254,83,102,94,460,332,42,456
5,201,423,480,209,126,251,185,205,39
6,481,213,396,98,40,368,377,408,311
7,183,3,220,159,359,19,87,7,332
8,198,98,6,357,14,32,150,368,22
9,443,368,166,24,233,418,205,383,266
10,94,151,458,113,450,267,339,426,93
11,44,205,306,495,164,53,484,266,314
12,288,272,355,169,262,241,363,349,128
13,377,433,26,226,462,422,85,337,228
14,394,33,158,26,295,297,9,79,246
15,393,46,407,287,130,73,96,274,217
16,361,84,248,456,33,223,194,361,77
17,119,255,116,207,230,30,418,192,172
18,337,476,280,30,116,298,162,285,309
19,112,204,332,40,410,38,480,269,379
20,23,59,174,267,118,64,166,171,218
21,303,394,177,363,336,372,460,198,402
22,482,435,198,384,463,155,427,411,345
23,90,465,244,323,335,265,41,71,475
24,293,331,140,231,221,168,88,459,327
25,187,267,288,376,234,335,138,120,368
26,128,497,206,300,320,373,255,63,192
27,400,233,484,472,431,216,300,292,416
28,29,419,416,117,364,76,121,417,435
29,58,444,120,66,120,1,430,3,401
30,462,486,53,217,143,255,174,240,383
31,353,469,72,479,458,448,331,289,55
32,147,417,66,435,202,437,332,64,353
33,285,487,269,135,452,29,86,110,125
34,139,319,218,287,23,325,65,388,369
35,306,171,449,246,487,477,16,169,169
36,257,216,146,142,250,357,200,202,80
37,153,27,404,124,134,443,111,464,117
38,221,468,6,37,351,55,336,416,426
39,71,334,131,249,366,357,37,232,449
40,177,449,176,231,332,346,369,305,390
41,287,155,87,49,345,281,304,92,151
42,378,308,105,232,438,498,219,260,483
43,341,18,432,96,388,305,257,78,66
44,119,189,53,117,229,228,348,419,239
45,276,170,266,80,304,145,139,495,380
46,178,279,192,494,499,5,107,374,15
47,279,42,203,161,249,260,201,472,67
48,312,142,8,347,488,93,435,303,132
49,97,194,48,473,81,307,289,138,273
50,83,178,166,5,433,285,143,179,475
51,306,99,217,291,244,222,435,404,252
52,269,327,338,397,361,346,252,242,472
53,206,4,1,99,26,404,97,229,462
54,335,292,231,473,10,250,376,163,80
55,239,467,297,488,488,401,488,420,462
56,304,387,330,309,482,311,380,331,127
57,408,9,207,125,268,455,487,139,379
58,296,30,220,67,431,484,163,101,231
59,147,302,173,101,391,330,479,232,152
60,286,279,275,377,464,447,113,271,376
61,223,37,348,388,92,232,207,270,346
62,411,181,254,130,345,42,311,89,209
63,261,61,483,222,236,152,302,204,452
64,458,421,163,95,436,393,237,359,39
65,335,297,139,299,151,496,297,167,192
66,484,322,394,467,450,241,318,122,280
67,403,469,355,458,439,250,440,360,353
68,180,442,423,476,318,35,214,497,398
69,238,70,56,145,168,126,159,349,498
70,250,174,268,210,140,123,486,45,468
71,254,77,451,386,466,156,117,158,457
72,287,235,211,287,44,345,213,75,360
73,472,405,59,97,44,432,161,24,139
74,455,450,352,131,232,230,279,88,360
75,78,334,256,90,151,256,450,69,141
76,66,361,93,106,448,57,26,336,18
77,340,261,214,130,12,436,60,61,275
78,348,267,61,27,379,16,266,392,55
79,405,2,438,134,34,241,183,440,322
80,207,398,108,58,456,33,295,472,174
81,30,18,52,85,246,104,417,473,193
82,123,462,73,235,296,10,343,41,82
83,334,204,96,13,455,494,389,153,33
84,444,370,194,272,265,398,485,106,352
85,236,415,208,425,26,89,102,264,188
86,174,128,88,325,472,139,26,52,258
87,177,252,228,333,383,375,296,19,179
88,13,383,210,10,22,390,267,231,290
89,143,422,346,15,142,384,100,29,393
90,389,389,134,488,492,484,119,484,484
91,452,248,409,478,106,484,155,323,475
92,275,425,167,46,454,226,439,210,259
93,109,255,224,63,35,447,444,344,484
94,269,9,316,256,412,417,105,92,89
95,426,157,299,336,7,202,400,362,75
96,196,64,404,197,458,378,434,207,357
97,401,12,37,412,217,290,211,424,209
98,42,363,184,436,192,264,326,216,137
99,302,385,410,236,128,47,221,33,310
100,238,492,111,43,418,27,205,12,447
101,335,474,137,33,226,16,476,76,329
102,304,31,368,49,420,306,57,370,40
103,90,411,5,269,182,461,246,137,470
104,261,321,1,93,338,304,404,94,204
105,188,381,419,326,416,78,132,454,469
106,189,262,185,42,272,300,405,178,229
107,461,322,414,325,302,424,73,354,259
108,343,362,39,292,368,464,227,210,253
109,340,354,479,168,342,279,441,88,132
110,306,353,136,256,17,313,322,134,368
111,407,483,72,80,133,24,321,329,54
112,125,157,266,356,346,462,300,396,8
113,139,32,384,268,76,131,273,235,264
114,236,151,321,259,496,256,266,196,254
115,284,391,106,203,260,119,9,269,250
116,17,216,179,125,53,252,146,362,253
117,478,329,270,470,359,439,315,60,154
118,19,451,302,364,246,279,186,155,431
119,35,349,249,382,481,243,319,367,83
120,56,189,312,494,166,111,20,211,249
121,33,136,83,55,392,245,371,2,144
122,444,348,455,283,449,464,63,72,438
123,465,232,345,229,148,475,74,26,222
124,322,227,409,247,434,29,15,54,261
125,415,357,130,260,114,407,45,22,31
126,173,446,446,351,272,289,29,406,382
127,395,158,101,397,195,132,424,459,208
128,449,332,124,76,18,414,496,151,131
129,247,118,107,95,312,361,442,496,422
130,478,438,193,494,273,27,481,103,184
131,404,133,499,351,16,241,327,61,453
132,261,230,42,355,273,32,229,374,126
133,266,196,34,151,157,177,408,6,42
134,137,436,413,415,437,168,114,164,256
135,228,103,183,71,374,55,326,61,450
136,379,293,371,388,324,151,183,402,373
137,227,100,225,394,75,370,367,316,96
138,248,409,355,355,494,330,78,128,447
139,469,254,418,176,434,348,164,299,29
140,429,303,156,171,397,56,498,76,141
141,3,412,37,167,18,421,168,122,68
142,229,205,354,65,9,295,209,120,468
143,301,240,276,206,227,350,93,401,132
144,301,18,482,177,147,82,427,301,379
145,374,438,134,388,189,170,356,76,266
146,320,241,301,90,303,215,449,164,297
147,251,131,405,444,76,338,123,13,479
148,355,352,223,54,383,484,300,20,66
149,166,467,376,52,33,253,177,268,80
150,478,77,32,243,107,34,417,273,193
151,173,156,278,433,386,149,230,310,181
152,89,118,54,69,194,413,176,337,363
153,426,179,89,332,473,66,449,318,153
154,260,407,180,270,7,416,274,36,60
155,146,110,75,69,214,312,471,210,450
156,328,483,356,306,409,222,61,382,118
157,245,118,298,330,72,364,311,246,6
158,170,154,366,408,57,176,38,268,87
159,108,143,189,161,295,119,142,492,277
160,303,394,215,460,29,149,448,472,111
161,22,35,446,271,98,40,52,306,105
162,464,69,135,247,29,21,400,69,322
163,275,74,143,160,124,7,253,97,279
164,473,347,431,107,474,327,304,129,57
165,364,40,366,156,107,405,453,458,33
166,309,461,279,445,303,169,327,218,460
167,408,45,455,184,392,373,174,226,133
168,429,155,461,402,329,257,318,225,175
169,257,294,423,168,119,16,13,321,123
170,490,34,131,486,316,293,208,340,479
171,498,379,297,288,476,168,36,233,169
172,114,302,332,79,24,120,181,213,60
173,48,153,117,423,251,460,495,146,294
174,89,266,190,138,387,472,353,371,204
175,139,485,92,340,353,311,224,488,471
176,187,283,89,459,346,466,280,461,150
177,58,198,387,194,448,251,381,121,480
178,311,263,30,222,375,231,11,411,222
179,46,104,26,219,113,280,298,39,251
180,64,355,266,228,189,19,94,159,289
181,31,192,213,197,319,1,31,360,26
182,30,375,375,22,168,241,405,473,236
183,368,257,472,5,151,211,335,386,276
184,276,208,359,265,485,93,285,88,209
185,136,487,47,288,457,172,148,428,347
186,272,191,403,218,138,97,450,392,165
187,82,118,450,494,341,401,330,488,135
188,61,212,263,454,145,429,359,179,470
189,410,479,84,13,12,471,300,487,11
190,425,450,140,116,162,247,370,380,389
191,4,206,191,310,376,78,451,461,388
192,115,199,232,469,96,497,85,406,149
193,113,355,386,318,318,51,375,334,296
194,159,462,250,323,447,302,124,429,147
195,349,96,346,168,109,84,272,53,378
196,56,431,436,156,145,389,362,317,290
197,128,24,91,341,166,149,106,371,97
198,181,391,112,53,203,62,427,382,438
199,420,427,155,196,485,293,407,55,222
200,163,188,34,73,376,1,126,277,226
201,403,248,52,313,199,149,273,216,471
202,212,138,215,249,212,260,27,290,256
203,247,62,8,243,366,139,413,345,49
204,439,235,119,174,186,240,452,163,285
205,296,463,99,322,134,178,342,234,479
206,357,480,339,389,3,393,22,273,306
207,119,71,137,297,209,395,222,498,4
208,175,497,208,335,310,408,398,426,116
209,321,29,363,142,278,412,414,138,477
210,26,457,186,49,168,456,129,410,160
211,18,480,32,147,29,104,8,291,44
212,206,98,139,101,339,459,273,280,121
213,374,51,31,469,309,425,456,350,149
214,195,160,445,16,329,200,442,393,315
215,316,179,489,411,498,65,145,450,340
216,453,369,138,146,56,407,22,279,166
217,186,336,3,438,23,436,183,478,243
218,61,327,147,17,103,493,399,479,39
219,66,499,480,367,198,303,356,208,276
220,94,249,421,55,147,329,399,493,182
221,159,375,231,271,135,393,264,498,45
222,131,470,61,386,174,494,178,420,145
223,320,69,487,413,345,435,451,317,195
224,330,274,136,484,375,185,121,254,492
225,368,258,330,154,381,58,154,198,463
226,479,255,4,285,273,22,492,199,361
227,192,235,203,478,399,172,60,446,496
228,150,338,484,493,268,218,303,182,263
229,90,310,345,344,37,293,8,388,433
230,373,253,160,358,498,127,299,169,275
231,117,356,323,380,342,428,117,343,65
232,262,26,482,151,175,36,311,32,187
233,186,308,139,343,290,68,232,25,486
234,499,267,208,491,302,312,481,310,223
235,339,459,335,68,185,497,113,348,310
236,254,483,435,359,9,330,427,212,107
237,422,359,467,228,28,144,252,280,7
238,235,281,190,335,365,478,166,379,237
239,51,216,482,159,158,82,138,198,420
240,249,107,445,171,320,27,437,111,120
241,264,324,205,32,86,195,43,9,228
242,386,166,7,299,8,438,431,337,220
243,498,329,104,392,490,246,166,60,466
244,200,460,180,410,472,427,177,103,280
245,379,49,38,88,111,482,371,183,217
246,488,54,4,383,107,387,74,141,178
247,451,496,125,310,368,259,491,412,179
248,390,374,131,438,83,306,188,384,421
249,355,263,124,327,178,415,72,333,209
250,137,377,136,388,240,264,155,110,73
251,470,142,263,114,195,119,124,438,15
252,362,67,31,73,491,245,337,347,435
253,268,470,213,463,496,446,272,24,422
254,473,288,74,24,112,406,204,60,188
255,82,301,126,134,28,205,249,6,142
256,169,394,63,350,77,495,173,316,16
257,273,370,309,138,497,337,84,84,331
258,194,415,125,407,225,98,247,161,229
259,175,405,390,270,84,454,452,343,291
260,162,116,179,227,31,46,164,232,104
261,65,439,173,185,204,200,160,82,260
262,210,221,364,94,135,111,378,40,213
263,304,134,41,386,162,216,184,445,360
264,244,320,224,266,267,414,340,123,96
265,79,108,460,109,390,404,121,331,29
266,39,403,386,421,16,187,374,173,64
267,381,479,236,101,229,331,52,344,444
268,145,462,287,36,383,109,284,113,115
269,457,133,30,330,258,173,120,95,167
270,171,156,279,457,133,107,375,433,130
271,84,389,199,16,286,464,184,158,461
272,337,256,265,299,94,76,285,112,101
273,262,229,90,118,259,490,264,312,84
274,148,52,314,388,277,380,305,301,139
275,199,465,148,44,424,189,495,460,47
276,162,469,466,308,334,303,340,498,314
277,477,432,181,493,85,74,229,493,231
278,106,139,363,494,179,209,469,168,274
279,463,385,204,471,8,357,207,239,41
280,168,336,263,485,493,345,447,57,89
281,205,98,296,331,163,463,282,152,320
282,153,283,11,60,481,472,191,219,145
283,388,290,423,387,348,426,273,194,384
284,381,343,369,401,362,184,40,217,105
285,467,218,88,115,184,99,86,292,326
286,353,385,409,159,482,446,499,288,207
287,265,146,176,388,481,239,301,36,165
288,318,335,222,122,204,339,392,411,275
289,105,211,258,458,173,408,82,93,55
290,316,148,318,283,467,55,26,177,476
291,310,193,280,119,222,102,317,170,69
292,171,261,295,421,246,484,13,339,5
293,418,395,392,66,50,180,105,52,133
294,178,324,228,28,100,30,488,79,358
295,99,100,360,256,355,184,471,338,99
296,223,105,368,241,95,162,121,190,477
297,192,136,255,483,267,339,185,162,476
298,272,485,345,117,123,18,460,483,212
299,43,424,478,162,377,123,138,252,235
300,142,335,417,336,138,370,295,189,125
301,458,91,69,409,492,268,406,300,39
302,214,28,457,417,438,307,225,303,459
303,486,66,426,122,165,242,441,104,289
304,467,216,280,104,319,299,252,155,134
305,46,424,455,421,44,91,393,474,133
306,210,123,32,299,196,130,307,265,217
307,138,163,93,217,455,315,214,371,447
308,59,158,65,17,492,210,344,428,119
309,312,2,440,13,207,187,112,42,101
310,9,463,262,324,95,30,229,232,440
311,370,186,269,259,238,379,99,98,218
312,214,362,433,343,73,454,52,317,7
313,255,137,60,56,105,39,477,447,393
314,359,424,210,27,3,44,334,351,348
315,181,17,13,157,267,189,269,485,209
316,4,446,65,458,313,126,18,262,382
317,462,63,391,362,352,312,17,481,283
318,466,87,167,105,4,346,243,427,431
319,36,194,272,54,27,296,44,311,477
320,64,412,370,60,167,208,43,44,436
321,97,416,483,251,92,417,251,270,212
322,404,131,246,339,323,230,379,174,400
323,81,278,2,207,258,70,158,79,122
324,365,16,454,49,231,234,351,328,126
325,168,160,297,336,385,28,163,388,228
326,477,425,407,33,214,242,67,240,470
327,244,195,364,402,241,61,20,436,59
328,299,364,103,15,250,216,335,363,253
329,413,449,446,316,296,116,128,70,422
330,241,94,109,55,225,498,179,321,336
