,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,298,407,168,167,211,161,446,275,96
1,350,475,427,200,333,268,206,344,21
2,360,162,200,181,262,387,113,215,177
3,315,208,270,464,134,350,113,481,141
4,174,38,197,316,175,283,292,386,448
5,77,249,226,251,8,397,433,269,409
6,315,231,152,283,422,102,450,492,260
7,76,47,230,233,218,299,312,160,387
8,450,124,360,383,283,446,259,335,54
9,174,397,29,284,87,47,476,33,151
10,254,388,213,356,253,484,105,467,306
11,271,6,145,350,129,13,260,429,454
12,242,338,59,245,303,178,199,54,84
13,258,87,495,177,476,37,436,309,14
14,78,467,441,377,14,28,57,297,310
15,124,334,435,427,247,486,55,496,57
16,67,450,198,431,218,414,358,13,316
17,450,446,460,313,387,294,494,87,241
18,104,362,254,118,427,154,81,271,417
19,119,280,97,302,94,255,278,356,214
20,295,411,34,248,16,259,348,335,12
21,211,389,332,306,193,439,158,256,418
22,415,296,190,345,31,47,174,263,384
23,426,342,226,133,77,156,186,450,327
24,405,71,449,170,493,270,273,210,355
25,233,267,296,427,446,221,94,110,266
26,82,158,404,316,435,105,472,168,219
27,355,493,46,264,404,448,454,334,144
28,451,499,293,214,346,32,187,248,459
29,279,285,474,473,304,166,118,54,495
30,242,106,364,415,136,201,454,50,165
31,365,32,23,165,124,50,131,143,408
32,251,146,71,344,215,242,290,475,45
33,337,314,279,15,44,213,21,454,35
34,31,134,239,118,52,244,194,383,110
35,316,252,385,415,68,8,467,388,339
36,481,222,410,163,68,222,202,191,32
37,69,430,458,79,480,284,98,446,253
38,196,145,260,394,2,367,419,58,29
39,276,479,87,139,347,351,326,50,472
40,231,212,498,13,65,189,421,490,27
41,52,120,431,73,488,363,300,377,196
42,104,469,157,475,495,285,122,100,98
43,491,37,181,109,158,479,30,137,273
44,486,122,402,79,405,298,264,138,207
45,456,452,174,480,191,138,343,274,348
46,59,219,403,107,231,272,339,383,388
47,326,76,448,13,491,265,387,213,155
48,492,11,469,340,428,313,125,357,322
49,28,110,412,115,77,42,225,98,158
50,217,471,361,445,185,295,250,378,427
51,87,340,291,325,288,38,378,85,269
52,39,273,371,339,411,407,442,125,211
53,472,466,142,498,409,297,44,467,368
54,92,456,486,90,218,218,260,13,40
55,111,465,98,119,410,334,234,192,151
56,380,62,293,134,218,79,436,182,123
57,436,170,440,462,412,265,391,85,67
58,99,32,342,143,155,438,64,62,245
59,253,91,149,415,301,269,224,194,396
60,290,305,282,328,228,332,322,105,336
61,234,385,141,374,160,456,67,57,316
62,409,199,26,45,239,289,437,24,259
