,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,388,175,36,453,489,436,227,150,101
1,80,305,224,429,221,472,31,182,467
2,347,43,88,275,356,428,396,477,296
3,419,468,22,308,475,340,337,343,154
4,307,111,217,21,265,476,359,271,419
5,355,174,439,269,330,331,271,136,299
6,411,144,352,236,85,90,416,351,261
7,224,360,323,360,109,208,209,435,138
8,467,296,269,379,123,365,458,58,343
9,398,136,76,8,435,230,210,79,382
10,418,328,258,178,454,459,471,14,273
11,124,423,30,130,145,150,445,26,448
12,92,28,229,484,75,40,449,439,308
13,83,399,262,95,476,463,408,464,446
14,180,256,182,444,235,305,225,131,312
15,274,461,160,10,156,98,231,73,70
16,100,18,252,48,65,185,369,417,85
17,263,448,317,382,216,34,191,395,412
18,113,386,182,19,149,272,212,153,314
19,446,235,329,270,180,294,416,278,120
20,285,251,189,13,294,339,186,457,49
21,254,140,219,336,308,438,450,237,294
22,480,218,56,28,253,295,373,434,67
23,34,23,301,324,150,197,258,335,491
24,249,59,280,317,279,86,46,433,230
25,342,107,10,311,404,22,480,229,81
26,248,286,478,31,434,436,2,392,419
27,159,118,156,194,82,463,219,72,177
28,445,143,217,207,143,27,455,427,307
29,378,311,490,393,459,65,495,271,339
30,66,476,11,25,226,220,342,110,292
31,200,39,414,34,320,313,490,298,183
32,356,222,462,167,110,140,88,181,257
33,251,205,260,30,9,3,14,231,441
34,364,26,264,123,100,274,150,230,412
35,417,245,113,322,134,288,113,167,86
36,290,172,4,110,206,132,113,204,255
37,61,291,7,430,474,411,36,459,347
38,1,19,6,212,86,394,340,381,98
39,292,399,148,144,375,156,113,287,80
40,450,218,149,224,356,243,135,393,417
41,305,49,268,255,309,211,242,1,410
42,351,417,265,62,20,301,344,50,113
43,273,497,196,121,302,247,491,446,482
44,237,186,369,78,398,7,17,294,125
45,91,93,189,18,348,339,149,347,415
46,375,84,470,63,213,430,175,346,228
47,187,263,462,268,261,336,41,150,102
48,263,457,213,474,92,287,306,205,142
49,49,459,488,309,106,438,417,493,321
50,172,382,455,180,261,333,308,314,11
51,341,303,2,6,227,79,377,450,103
52,257,308,481,155,38,91,208,64,87
53,378,309,400,14,228,234,381,82,430
54,390,392,196,156,155,97,370,151,89
55,201,188,286,287,135,86,462,413,183
56,305,145,424,75,351,342,494,58,437
57,309,367,204,241,198,83,324,102,262
58,469,33,64,346,315,462,497,188,181
59,230,380,316,90,348,180,227,269,90
60,454,379,97,484,427,77,9,149,95
61,416,132,338,121,113,2,26,37,444
62,142,304,317,197,372,330,265,263,342
63,318,199,153,259,86,469,377,419,149
64,493,200,167,490,32,116,492,115,129
65,164,317,481,376,315,137,357,245,182
66,395,491,20,334,498,333,466,43,320
67,434,155,275,246,263,476,474,188,219
68,66,301,203,218,19,7,269,57,195
69,156,384,160,22,253,118,414,25,242
70,444,238,186,469,373,260,157,219,166
71,474,60,488,372,202,237,365,69,271
72,55,225,2,411,445,298,459,325,69
73,71,225,48,8,399,339,34,212,98
74,243,347,81,418,47,454,314,346,223
75,375,243,405,453,373,347,343,122,218
76,196,311,354,419,358,96,388,327,293
77,132,35,66,297,161,314,234,175,106
78,251,269,310,393,46,445,239,413,270
79,181,245,47,145,474,184,201,222,210
80,97,101,317,259,238,139,12,445,483
81,336,178,392,192,408,273,304,282,330
82,189,14,16,468,485,90,314,336,6
83,202,268,76,53,394,408,386,457,107
84,52,282,237,436,326,476,383,199,210
85,225,382,44,436,73,116,1,409,467
86,171,430,448,119,8,198,144,257,326
87,443,355,121,204,45,133,285,148,271
88,194,366,471,440,362,390,493,99,202
89,121,258,391,430,159,165,157,477,257
90,118,308,82,402,23,89,408,453,365
91,184,137,133,60,484,488,339,263,297
92,233,46,84,208,50,288,53,247,27
93,176,343,276,335,392,356,127,172,17
94,296,479,9,247,187,295,259,390,480
95,319,495,174,42,77,461,377,81,175
96,403,278,461,70,229,296,69,229,251
97,161,55,419,95,103,154,405,140,237
98,134,453,221,274,330,416,336,340,461
99,38,285,347,498,485,144,244,261,136
100,473,54,397,29,492,309,122,408,427
101,375,178,410,179,147,224,139,34,267
102,74,310,204,370,53,90,498,443,19
103,130,235,151,369,232,32,25,141,367
104,355,287,335,180,90,212,165,115,274
105,249,393,321,497,159,277,149,441,411
106,292,375,150,240,72,430,32,359,175
107,310,130,26,469,47,10,389,6,453
108,45,148,483,343,100,167,24,321,423
109,336,228,368,398,469,193,27,305,477
110,320,272,468,426,413,29,95,334,429
111,404,480,263,193,272,359,193,318,200
112,354,222,272,260,170,41,62,318,53
113,79,487,72,18,235,347,34,165,118
114,105,188,160,494,477,67,69,325,367
115,412,131,58,425,302,18,154,1,416
116,242,419,411,62,440,206,11,241,470
117,126,88,185,426,199,487,168,39,450
118,264,254,295,216,174,385,354,192,32
119,188,308,466,104,263,264,243,101,232
120,476,287,472,469,283,464,79,217,86
121,99,151,366,98,489,239,4,146,73
122,172,231,298,336,414,338,379,473,140
123,446,230,86,183,456,406,96,111,294
124,107,231,116,6,442,482,401,290,289
125,230,39,14,81,478,124,16,296,342
126,197,334,48,168,348,76,424,350,242
127,88,217,280,391,291,253,222,314,208
128,498,496,464,387,124,249,326,406,217
129,466,343,473,284,496,40,254,99,380
130,387,295,343,407,241,40,11,81,258
131,424,91,350,408,309,203,186,457,257
132,377,154,221,421,157,209,83,374,92
133,249,37,18,455,202,272,52,460,445
134,475,437,283,315,409,190,63,197,397
135,212,59,372,356,158,450,482,42,496
136,100,406,201,257,327,269,436,159,452
137,442,488,145,296,459,393,218,332,138
138,376,57,414,447,217,16,119,185,151
139,94,70,66,358,298,396,388,486,262
140,349,2,91,471,101,401,78,243,125
141,20,257,306,356,242,237,44,292,85
142,282,446,172,250,346,438,90,51,212
143,322,258,119,276,159,445,46,304,42
144,258,131,74,30,198,26,18,327,18
145,329,283,4,59,68,37,482,383,135
146,283,342,154,461,262,479,174,143,81
147,202,287,211,13,292,151,155,195,294
148,455,158,447,61,22,85,160,90,396
149,45,114,23,303,421,250,379,384,32
150,231,472,120,91,229,327,271,93,210
151,390,322,391,5,333,152,335,228,457
152,60,72,426,195,91,82,308,493,424
153,482,118,85,494,59,181,120,484,377
154,293,160,457,39,206,68,364,456,26
155,479,98,217,426,200,450,475,369,104
156,3,322,158,186,424,31,363,28,346
157,464,85,487,441,39,369,496,47,384
158,434,479,492,212,425,374,192,20,352
159,364,463,327,387,109,284,20,284,235
160,41,231,437,187,245,155,47,203,192
161,191,300,403,318,58,81,193,98,233
162,371,72,422,261,312,151,37,493,335
163,27,71,421,321,171,189,181,233,108
164,103,54,355,173,204,157,347,329,326
165,483,180,372,23,108,412,447,371,162
166,421,426,423,418,231,455,200,386,248
167,384,248,222,115,311,325,476,196,344
168,462,267,404,143,389,42,325,301,337
169,407,27,446,263,7,386,157,190,324
170,104,243,468,494,268,349,99,261,425
171,68,437,222,285,392,352,334,280,107
172,276,169,448,223,96,212,12,365,36
173,143,437,232,149,423,411,129,428,452
174,172,14,408,435,377,320,312,275,489
175,355,252,66,429,244,467,465,443,124
176,261,10,412,378,348,90,152,126,372
177,28,54,124,374,112,276,389,437,232
178,268,495,392,383,146,342,48,326,136
179,214,98,81,239,188,366,314,37,49
180,288,19,379,357,402,355,359,390,247
181,303,35,114,401,333,406,448,229,380
182,309,234,136,148,9,219,480,24,495
183,477,157,78,394,167,453,218,357,402
184,201,284,480,157,37,351,449,454,209
185,153,67,409,329,498,137,357,8,89
186,228,310,191,196,495,448,45,300,75
187,61,107,206,212,191,447,349,108,328
188,158,442,183,168,217,127,322,94,470
189,455,64,241,470,75,379,337,273,107
190,162,416,245,468,448,247,304,211,117
191,36,264,250,298,239,214,399,271,196
192,387,106,105,207,252,51,86,405,279
193,62,383,373,89,68,101,251,142,184
194,376,241,106,83,180,272,57,283,387
195,415,311,287,357,267,453,239,31,136
196,101,253,488,75,417,59,207,400,398
197,475,418,133,37,256,231,492,444,46
198,471,182,89,490,202,234,178,126,133
199,32,447,359,187,316,294,473,420,204
200,120,442,393,5,488,109,371,250,92
201,40,195,247,302,490,300,314,371,167
202,266,54,427,417,442,226,48,243,428
203,88,481,460,113,346,475,342,178,318
204,388,162,38,17,137,223,40,410,187
205,191,91,472,178,351,237,146,169,273
206,351,421,311,92,322,357,478,417,149
207,36,460,297,222,419,12,485,271,175
208,146,308,2,279,85,107,4,202,24
209,376,143,497,46,312,259,285,342,426
210,309,445,287,195,208,118,58,468,145
211,383,490,203,235,15,144,227,313,471
212,366,291,157,58,266,133,95,383,294
213,303,386,496,206,243,125,484,271,73
214,296,321,224,344,18,228,355,440,377
215,152,219,261,410,188,202,413,285,383
216,363,385,466,57,493,178,410,163,9
217,470,278,360,499,281,52,441,210,267
218,363,357,457,164,162,482,209,439,417
219,182,55,310,231,371,400,44,264,368
220,174,112,319,24,244,311,72,293,352
221,262,276,14,211,26,8,310,69,172
222,213,236,176,430,343,149,91,210,403
223,387,185,253,361,286,87,287,355,467
224,119,266,461,121,493,492,225,122,12
225,402,406,312,55,94,397,430,318,206
226,117,20,223,490,13,312,357,60,116
227,129,267,11,132,332,51,441,336,413
228,43,221,488,138,183,50,42,284,291
229,291,359,31,347,445,221,41,206,437
230,225,187,151,422,326,308,192,371,485
231,430,493,266,229,297,310,150,72,63
232,301,163,116,354,474,127,272,152,455
233,93,446,473,330,273,297,202,227,274
234,498,132,460,14,182,117,156,152,82
235,86,431,369,148,155,329,43,488,76
236,107,193,440,283,124,403,461,100,215
237,100,479,90,307,499,395,298,301,462
238,352,421,9,228,368,283,498,289,232
239,160,311,184,222,482,422,491,267,8
240,483,286,322,221,58,60,408,157,306
241,494,437,80,342,224,373,82,23,327
242,218,349,187,226,186,355,490,215,295
243,425,408,177,55,34,434,153,9,44
244,355,350,277,324,426,242,464,438,370
245,323,176,481,146,91,166,188,267,320
246,416,24,100,474,365,145,461,430,222
247,178,466,330,380,215,415,316,375,490
248,125,269,295,47,281,229,239,222,17
249,253,332,240,447,182,110,71,15,45
250,286,336,346,37,62,22,418,436,238
251,237,217,209,183,124,156,165,76,266
252,316,104,240,184,158,237,447,65,39
253,441,132,241,142,165,283,326,36,60
254,64,173,339,398,69,162,371,37,91
255,72,229,417,110,62,155,440,468,44
256,392,251,131,485,69,360,287,232,23
257,187,29,313,293,420,319,71,299,288
258,189,50,355,55,420,110,44,140,56
259,267,478,413,77,29,256,341,343,52
260,330,189,84,366,391,316,393,340,61
261,428,349,125,217,237,442,495,415,492
262,383,108,54,21,243,14,335,39,181
263,126,205,293,248,236,152,375,188,150
264,245,258,149,158,55,231,378,199,253
265,107,26,86,204,349,263,269,478,71
266,327,255,98,273,112,129,78,339,249
267,175,272,45,360,305,138,112,159,113
268,485,295,240,89,282,171,482,211,473
269,1,114,67,360,481,141,461,313,240
270,370,254,16,403,425,48,265,352,107
271,218,31,68,281,17,155,37,242,462
272,6,433,455,98,188,134,493,52,4
273,221,79,91,13,411,8,408,25,334
274,315,189,80,474,74,368,205,465,47
275,226,434,488,455,455,154,157,314,488
276,393,23,413,136,106,214,82,2,208
277,200,423,459,353,276,336,315,177,273
278,204,67,489,300,284,313,302,217,57
279,134,156,252,246,325,204,453,317,335
280,170,357,322,34,117,417,40,414,238
281,274,361,66,350,167,28,65,306,469
282,164,459,189,299,248,172,312,189,406
283,268,405,59,413,449,23,226,389,282
284,412,448,27,359,362,137,219,493,310
285,409,321,197,318,137,2,212,341,311
286,164,101,240,255,445,320,384,332,14
287,220,341,64,176,68,106,167,366,448
288,405,171,295,75,267,393,280,487,368
289,132,281,347,82,106,439,198,483,62
290,206,399,38,221,484,308,408,292,371
