,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,415,424,469,395,58,79,184,339,454
1,140,384,262,313,237,203,491,477,282
2,376,139,148,183,24,235,33,206,343
3,119,439,378,97,284,324,48,217,357
4,339,206,438,420,172,114,246,45,467
5,16,302,483,55,34,452,315,65,478
6,218,89,4,451,164,126,287,299,20
7,170,130,273,189,411,72,278,479,199
8,38,499,63,142,286,29,495,385,320
9,418,182,132,385,21,402,19,462,249
10,456,445,92,349,134,479,266,358,89
11,70,364,288,398,258,383,82,235,180
12,74,483,181,336,154,191,195,237,229
13,143,219,427,10,250,69,98,65,50
14,479,244,108,415,139,322,438,409,98
15,455,452,426,498,167,456,104,408,493
16,275,149,83,276,295,20,151,114,59
17,447,343,471,210,27,439,155,24,341
18,228,325,225,307,258,53,201,366,152
19,253,135,40,354,353,53,320,136,490
20,77,169,95,178,312,468,138,285,482
21,376,119,178,285,124,133,394,118,215
22,439,333,93,210,33,137,95,43,220
23,352,47,78,484,200,278,478,117,440
24,389,253,316,37,401,497,211,124,325
25,76,93,406,318,227,252,402,77,219
26,278,453,52,280,290,384,381,167,423
27,336,142,212,164,21,324,495,270,127
28,19,348,411,421,255,82,273,359,142
29,453,441,449,220,214,350,329,194,328
30,265,291,48,106,11,52,54,179,227
31,129,22,378,479,210,100,155,295,43
32,412,437,440,188,402,276,85,290,72
33,173,445,117,396,121,61,174,325,77
34,446,73,22,223,85,165,123,455,452
35,280,280,250,322,422,82,475,480,449
36,433,93,325,1,387,425,391,183,323
37,156,170,82,431,493,96,439,202,242
38,328,459,499,165,153,231,252,264,46
39,455,240,171,126,112,399,298,99,410
40,24,10,333,404,162,459,231,168,121
41,193,174,12,203,239,57,98,426,291
42,239,89,22,364,16,33,485,461,137
43,400,383,446,409,95,405,437,456,241
44,61,23,409,307,486,320,43,34,335
45,270,222,36,440,49,417,115,200,429
46,497,233,339,283,220,101,132,165,430
47,122,377,338,399,47,122,212,66,326
48,329,439,283,226,280,263,499,274,80
49,410,103,145,314,28,79,467,491,371
50,275,244,245,41,114,145,342,41,249
51,264,410,251,443,82,84,208,48,380
52,234,187,318,459,81,269,419,485,318
53,488,322,40,204,411,123,493,81,240
54,8,470,331,338,52,149,177,120,82
55,480,51,246,256,195,109,48,141,267
56,229,329,310,350,227,494,497,393,16
57,144,176,75,90,309,31,269,121,34
58,130,166,267,480,23,213,9,467,35
59,440,422,404,408,498,230,213,201,54
60,21,68,33,166,146,21,73,449,85
61,245,102,406,307,282,200,418,81,313
62,52,415,134,358,218,138,339,78,184
