,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,342,241,306,276,31,44,41,198,440
1,333,257,252,368,8,336,411,282,187
2,224,355,37,176,373,483,397,149,173
3,37,112,33,413,172,236,188,309,115
4,147,251,80,174,177,155,476,439,47
5,42,339,341,255,36,388,333,278,448
6,90,449,393,125,332,210,273,206,275
7,76,238,206,188,476,286,297,376,141
8,197,260,184,14,310,443,368,430,21
9,211,132,361,224,103,260,352,93,100
10,192,10,334,212,459,434,248,446,162
11,130,413,33,32,372,249,7,14,349
12,116,358,24,147,341,122,491,204,261
13,486,35,78,193,232,342,57,163,33
14,285,261,226,493,281,177,36,317,405
15,401,490,71,344,451,245,268,498,385
16,13,27,140,168,215,169,355,418,45
17,445,96,486,397,351,446,491,136,217
18,114,65,53,153,450,388,58,382,439
19,341,385,449,353,192,430,282,287,456
20,184,41,171,223,270,172,387,148,228
21,257,392,296,479,13,169,107,162,196
22,6,388,44,102,200,314,204,475,20
23,108,63,296,174,95,53,275,173,176
24,31,174,374,434,12,326,62,374,410
25,172,407,428,56,360,107,203,346,334
26,305,125,449,464,472,339,340,384,384
27,374,80,242,372,273,406,327,352,328
28,241,93,172,405,277,391,130,397,71
29,392,293,119,397,17,171,151,240,325
30,445,168,292,42,392,214,31,439,61
31,161,429,456,240,380,347,237,455,441
32,148,441,468,115,331,438,62,98,306
33,478,487,453,245,403,159,105,85,486
34,392,424,150,36,441,360,188,282,36
35,378,236,51,28,490,192,474,38,470
36,323,186,144,191,482,270,72,164,62
37,43,11,134,39,404,411,350,381,421
38,421,259,459,114,90,360,291,398,6
39,197,85,280,304,109,459,485,248,441
40,59,443,164,188,390,246,470,285,346
41,436,106,101,359,380,222,248,42,135
42,498,283,98,370,128,191,306,465,198
43,41,325,101,107,128,365,282,308,90
44,360,385,454,74,268,393,64,489,165
45,42,41,143,441,355,417,88,149,112
46,263,316,231,20,28,418,85,207,489
47,148,362,456,477,119,126,153,168,34
48,448,425,44,151,73,231,190,196,342
49,57,106,58,194,436,379,309,78,56
50,348,487,62,163,441,97,85,347,227
51,156,165,119,306,36,307,363,147,56
