,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,423,64,160,45,263,374,41,8,389
1,65,94,67,174,298,315,461,403,240
2,291,380,94,423,453,463,461,44,288
3,230,469,97,283,101,321,336,162,35
4,419,438,260,367,496,433,422,390,172
5,352,64,260,486,72,310,275,335,225
6,382,269,423,410,117,375,463,407,255
7,318,123,156,200,298,246,87,142,225
8,481,273,470,290,482,348,42,412,171
9,288,235,172,307,82,470,230,179,295
10,2,354,355,494,397,22,83,203,173
11,152,126,305,392,207,376,93,125,349
12,333,451,468,267,236,10,8,27,290
13,11,349,184,335,62,79,111,12,489
14,36,452,221,139,242,495,182,81,11
15,193,349,140,333,86,122,4,72,225
16,255,155,456,487,309,108,54,298,408
17,318,318,72,59,111,152,188,309,364
18,203,74,420,243,273,461,211,3,479
19,330,135,178,303,29,85,386,47,176
20,471,337,302,150,143,281,381,254,47
21,433,109,9,242,106,13,113,195,372
22,495,34,187,323,97,359,252,434,8
23,157,234,479,84,92,11,375,2,58
24,8,426,346,30,59,180,370,137,468
25,44,340,29,314,407,66,5,254,366
26,223,229,244,356,8,336,103,310,421
27,379,488,391,90,64,42,158,482,315
28,474,201,111,105,492,374,160,192,37
29,52,257,12,191,158,497,131,390,493
30,485,380,472,21,168,456,71,170,125
31,47,313,188,358,331,418,307,200,355
32,266,187,168,230,383,418,365,228,383
33,406,57,127,208,299,65,22,425,241
34,496,154,333,310,247,423,219,221,217
35,304,151,492,352,154,379,312,423,419
36,409,442,434,305,245,153,69,365,408
37,166,73,406,402,139,100,349,138,376
38,359,346,107,148,489,99,454,71,242
39,213,144,446,364,5,433,86,403,59
40,212,281,201,21,121,18,21,165,269
41,447,250,250,61,36,453,258,380,430
42,472,320,87,48,10,60,446,214,299
43,432,81,366,438,124,153,131,329,226
44,221,496,8,266,361,2,367,184,199
45,281,339,11,411,332,256,464,389,59
46,391,437,70,473,57,87,429,407,481
47,177,451,55,309,320,153,78,287,89
48,61,178,372,318,62,48,419,19,301
49,19,455,297,238,433,50,447,450,25
50,277,53,98,370,65,390,463,496,370
51,217,389,70,345,494,409,328,48,47
52,467,83,285,446,124,238,364,60,493
53,120,138,168,307,335,359,54,346,198
54,490,18,423,396,52,137,253,429,480
55,467,361,327,240,263,242,86,65,108
56,479,349,307,365,315,292,373,169,59
57,286,102,316,44,408,463,29,220,15
58,254,371,233,29,233,130,104,18,313
59,152,373,180,125,391,310,34,475,398
60,423,232,18,484,18,227,88,254,434
61,151,421,309,84,138,401,301,485,440
62,5,322,95,63,426,178,267,480,339
63,361,346,215,339,37,211,395,80,358
64,49,259,265,57,364,495,219,317,36
65,340,332,183,212,267,332,332,279,377
66,402,179,444,331,489,166,7,420,39
67,479,148,374,264,278,450,149,316,278
68,70,290,199,95,302,312,28,365,121
69,419,277,367,250,133,23,50,109,430
70,159,264,471,424,91,303,130,162,248
71,340,306,141,287,277,332,112,395,158
72,49,91,160,186,176,64,88,495,454
73,29,314,470,19,188,174,256,102,122
74,374,189,460,116,316,273,378,366,166
75,29,354,191,170,228,473,155,264,312
76,78,325,389,381,354,477,18,395,35
77,52,276,455,434,287,305,435,147,390
78,224,6,106,104,261,250,176,373,357
79,276,23,281,327,444,78,426,495,289
80,56,298,218,284,126,422,274,95,462
81,199,101,412,229,162,446,443,60,316
82,315,64,250,243,441,226,377,34,376
83,195,163,303,125,484,203,227,423,47
84,489,146,216,388,421,340,292,324,233
85,239,425,214,409,308,478,18,144,54
86,67,346,134,96,303,372,117,41,16
