,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,361,164,68,325,176,159,381,43,346
1,414,234,453,166,37,73,254,442,208
2,221,208,475,75,369,367,322,287,498
3,249,403,196,151,241,269,255,472,426
4,346,87,335,186,160,339,117,452,416
5,1,368,268,220,283,9,391,113,161
6,149,90,376,363,76,392,7,59,339
7,431,193,205,340,71,377,132,381,83
8,323,407,351,17,404,49,188,267,102
9,479,438,94,283,186,168,329,330,136
10,112,461,280,15,376,346,83,144,293
11,473,374,93,173,395,358,487,20,59
12,400,336,314,176,161,455,199,305,19
13,14,139,66,431,359,381,411,345,393
14,490,317,307,390,161,187,415,97,481
15,16,37,54,452,336,330,197,176,3
16,455,150,182,34,437,343,185,237,105
17,210,347,356,115,235,52,125,475,1
18,108,483,147,242,356,324,421,133,186
19,63,235,46,218,450,103,193,32,140
20,138,281,334,306,121,117,296,78,271
21,266,312,75,146,112,170,253,262,330
22,153,164,129,222,42,69,370,73,420
23,36,248,187,199,31,121,440,244,381
24,289,22,49,416,95,100,271,393,58
25,20,401,387,231,262,417,169,162,384
26,383,288,42,337,310,184,490,98,294
27,3,457,141,498,216,441,114,291,285
28,333,110,295,371,432,491,499,470,401
29,232,77,200,319,275,264,303,334,94
30,13,181,422,368,228,91,315,489,187
31,125,208,43,442,39,235,30,415,481
32,313,411,2,155,162,103,182,45,62
33,412,454,191,43,317,269,118,255,328
34,143,22,1,310,11,402,476,479,331
35,369,118,316,306,456,440,232,286,423
36,11,243,165,192,282,208,163,89,466
37,237,79,106,35,37,225,262,165,303
38,334,11,466,120,111,145,399,280,303
39,44,247,36,426,199,60,175,175,479
40,416,251,255,474,128,137,140,12,306
41,448,483,329,297,137,487,332,384,109
42,78,23,68,400,3,20,305,397,67
43,310,110,493,295,76,220,54,9,133
44,471,301,40,7,80,349,32,267,425
45,79,439,160,342,44,440,52,374,221
46,3,438,448,222,234,58,284,276,362
47,498,412,160,364,321,444,340,223,198
48,312,347,462,260,227,480,103,421,338
49,433,125,61,112,296,248,368,235,106
50,19,121,58,333,10,168,199,126,378
51,226,49,266,13,205,172,421,446,445
52,229,74,76,298,346,270,106,53,50
53,407,369,256,219,285,133,262,357,480
54,192,327,124,130,340,367,287,255,494
55,142,420,415,331,42,274,468,421,206
56,389,144,80,459,147,33,209,366,168
57,64,127,324,129,217,346,363,260,146
58,464,21,23,388,63,152,482,418,312
59,335,412,113,115,405,452,83,246,454
60,238,461,219,299,365,453,75,23,461
61,415,92,19,478,364,21,343,106,370
62,118,284,145,5,477,431,154,340,306
63,399,368,84,181,459,293,201,369,281
64,10,441,293,413,185,403,138,456,245
65,455,288,4,61,371,493,71,62,296
66,281,38,490,184,227,403,344,362,298
67,485,391,471,50,237,73,187,266,271
68,376,90,466,196,183,27,62,488,41
69,281,188,204,10,491,105,444,185,51
70,80,222,13,434,281,280,287,475,50
71,150,167,272,288,411,451,139,175,498
72,205,253,436,86,185,123,365,174,265
73,215,470,110,183,86,357,388,362,259
74,150,380,361,71,247,11,73,235,413
75,259,265,94,210,43,499,340,92,339
76,315,318,98,440,230,189,330,344,163
77,43,200,459,64,141,202,97,337,193
78,190,185,161,175,395,7,168,176,161
79,89,463,316,477,144,30,111,202,300
80,116,154,409,382,316,405,284,460,366
81,252,296,329,351,157,474,295,255,381
82,471,471,240,211,289,185,264,96,398
83,11,154,7,23,112,251,272,403,213
84,402,369,296,269,12,5,78,460,412
85,444,152,77,171,39,99,83,218,242
86,96,205,252,177,16,89,260,225,418
87,424,283,37,253,436,40,3,435,213
88,350,301,100,238,346,367,250,496,53
89,163,251,474,108,138,407,72,161,122
90,15,206,238,84,184,190,152,370,247
91,137,342,37,354,16,283,269,286,102
92,338,24,159,91,134,36,150,331,319
93,149,168,271,36,314,426,70,112,139
94,333,285,319,404,364,414,224,80,18
95,365,238,231,494,183,475,81,16,268
96,333,107,346,324,411,241,331,120,487
97,291,24,366,222,490,253,51,333,374
98,155,137,173,376,141,26,293,341,92
99,251,246,458,307,418,172,415,452,256
100,368,189,387,113,217,328,412,384,355
101,231,313,230,224,442,427,193,116,376
102,111,158,198,452,200,375,103,200,271
103,62,10,355,87,116,145,114,474,104
104,449,72,49,21,219,265,304,359,261
105,360,138,410,409,358,147,236,381,140
106,110,469,172,463,45,457,36,385,404
107,296,423,490,393,151,183,302,455,435
108,14,497,154,320,163,487,445,3,189
109,27,311,181,193,86,432,122,184,106
110,34,291,416,270,156,479,100,318,234
111,41,340,454,426,3,327,151,415,340
112,63,61,129,46,245,316,460,477,275
113,104,306,181,306,417,228,435,173,293
114,393,467,367,167,330,469,345,310,61
115,128,412,416,27,415,282,99,393,370
116,320,39,158,419,176,87,24,391,430
117,440,183,109,82,199,355,28,232,433
118,87,165,188,238,195,421,239,267,464
119,431,451,421,414,365,191,153,154,381
120,242,346,180,229,451,432,337,293,440
121,316,496,451,334,201,444,244,173,348
122,127,499,165,53,498,396,28,367,171
123,7,476,276,385,293,112,427,427,61
124,247,121,450,392,396,438,476,131,364
125,125,235,246,185,300,417,160,248,307
126,53,318,380,434,104,492,276,403,346
127,392,212,52,205,427,93,331,39,122
128,154,24,476,228,414,164,8,66,159
129,341,385,187,493,185,27,274,264,123
130,218,334,63,365,338,354,179,386,191
131,78,27,31,184,273,472,2,425,382
132,234,367,166,318,301,274,221,97,296
133,22,71,495,305,477,31,169,453,262
134,453,156,64,85,208,342,208,360,87
135,230,440,341,202,98,8,389,186,288
136,170,7,376,376,19,393,364,426,230
137,467,130,268,187,272,495,41,329,346
138,377,32,159,40,380,8,456,98,416
139,49,15,79,240,425,175,298,211,406
140,29,86,37,128,239,158,308,72,372
141,203,354,329,269,332,264,109,50,271
142,182,307,243,90,307,212,401,47,28
143,390,480,193,71,196,236,153,73,376
144,146,403,398,107,241,368,70,136,95
145,363,176,30,13,495,73,195,419,499
146,483,190,22,35,13,379,12,96,175
147,138,337,467,180,188,296,119,437,445
148,446,69,354,49,126,382,31,210,488
149,459,111,429,316,353,367,260,475,206
150,12,189,391,464,176,279,83,147,358
151,137,339,8,5,439,27,40,173,373
152,60,154,440,71,35,168,393,400,181
153,499,456,49,443,270,259,306,492,359
154,68,213,409,192,13,342,370,117,292
155,12,307,385,268,134,26,113,240,309
156,240,372,421,212,371,498,61,188,66
157,487,273,117,77,442,423,264,16,208
158,242,444,63,106,448,327,428,84,477
159,183,355,356,399,91,424,349,19,303
160,178,461,397,308,262,133,38,468,473
161,444,321,37,64,83,20,139,393,85
162,127,33,300,207,70,142,250,239,481
163,28,253,276,290,302,145,344,198,436
164,499,173,112,452,305,112,284,29,258
165,259,22,32,253,232,173,386,293,379
166,136,329,336,348,134,445,73,301,272
167,147,383,75,273,464,173,334,409,430
168,420,4,438,416,138,290,483,267,354
169,406,106,402,290,409,347,266,178,313
170,436,364,206,468,417,463,474,429,369
171,53,237,376,413,219,355,214,8,136
172,381,25,210,438,57,262,324,327,87
173,269,246,298,321,201,157,51,452,188
174,146,36,275,366,414,313,372,217,288
175,44,106,307,117,269,169,115,486,312
176,113,343,193,5,362,305,22,215,30
177,395,419,201,499,357,149,444,55,499
178,102,415,347,235,292,362,471,311,181
179,292,222,387,388,368,375,1,42,309
180,122,480,38,236,309,496,376,169,90
181,47,410,71,333,164,180,79,279,379
182,422,490,398,307,466,455,237,65,366
183,115,203,248,177,93,110,378,117,443
184,11,154,74,429,1,342,144,439,341
185,253,493,464,430,35,229,66,179,186
186,335,439,12,28,275,69,420,164,119
187,372,122,418,133,368,131,254,468,291
188,143,353,213,424,80,436,194,210,61
189,303,235,395,132,487,474,299,31,311
190,418,387,324,53,444,386,377,374,496
191,189,391,325,173,479,477,449,478,393
192,418,453,59,150,61,269,264,465,106
193,26,362,267,329,13,105,146,200,66
194,215,439,366,236,30,325,253,133,384
195,213,174,492,327,478,469,179,75,123
196,260,3,340,321,121,141,400,314,287
197,80,271,417,170,305,431,460,376,78
198,262,318,255,44,162,319,89,303,299
199,226,428,468,150,489,134,403,371,402
200,8,177,412,408,486,489,14,403,327
201,323,268,28,91,345,282,214,109,48
202,52,142,3,53,414,65,262,167,232
203,182,117,465,466,376,421,118,93,189
204,459,2,206,178,247,57,108,147,136
205,139,57,190,10,260,162,140,242,328
206,387,108,227,42,457,323,148,354,151
207,403,142,208,322,196,456,136,284,255
