,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,96,25,21,114,146,194,242,260,144
1,238,485,35,164,419,382,209,491,86
2,423,411,151,486,119,479,57,265,193
3,78,164,81,498,205,237,100,342,311
4,215,326,8,357,59,266,175,478,401
5,412,264,279,50,286,393,499,387,152
6,328,250,25,161,239,401,44,330,393
7,44,136,438,145,233,217,45,213,401
8,119,58,220,223,315,193,308,100,367
9,100,85,244,498,427,70,34,384,358
10,116,428,120,19,217,121,54,115,282
11,311,105,365,319,41,292,353,204,469
12,57,414,1,282,180,262,300,323,131
13,268,57,218,400,339,95,40,30,296
14,43,467,6,377,98,126,139,105,39
15,408,473,132,474,334,280,476,141,428
16,95,79,414,196,260,378,225,378,48
17,41,174,23,428,143,188,326,201,430
18,117,160,397,122,380,413,441,84,12
19,88,284,274,458,479,380,436,123,434
20,24,214,278,144,189,481,187,220,424
21,244,76,358,102,414,492,372,347,341
22,214,69,147,473,422,363,350,299,43
23,235,447,298,75,380,409,306,218,498
24,248,253,9,437,257,91,442,288,270
25,273,120,39,214,13,311,305,38,21
26,56,365,184,258,45,182,167,409,343
27,33,86,85,276,177,107,487,66,108
28,75,48,35,435,151,468,419,389,370
29,435,329,26,165,353,157,132,469,407
30,73,33,361,203,214,295,134,346,24
31,358,77,186,55,31,429,346,241,308
32,452,5,68,456,377,219,130,45,288
33,393,356,298,484,1,9,420,44,254
34,397,229,38,260,194,246,231,221,109
35,50,459,415,157,394,68,495,381,281
36,188,274,317,323,462,280,322,199,154
37,72,434,397,322,82,290,315,82,336
38,178,243,258,61,63,435,71,234,38
39,296,328,476,419,417,102,158,181,436
40,131,190,66,263,370,368,41,272,291
41,302,370,266,401,162,102,58,415,219
42,281,125,82,432,196,350,221,421,192
43,205,122,458,467,238,221,146,347,123
44,421,179,286,431,38,33,446,417,375
45,216,32,499,101,421,73,416,456,431
46,113,159,30,371,357,274,224,366,140
47,361,135,148,285,436,92,386,458,244
48,195,333,81,153,329,466,478,178,36
49,76,108,274,209,471,342,158,302,102
50,389,152,68,20,30,426,247,379,181
51,439,94,83,60,374,40,489,174,413
52,42,422,100,476,220,236,167,83,80
53,61,188,438,221,225,227,309,275,49
54,233,102,301,254,91,237,323,49,271
55,67,443,164,197,458,20,272,180,455
56,154,271,190,48,397,178,282,71,395
57,341,325,391,459,74,41,201,489,359
58,423,174,101,382,87,109,375,372,265
59,214,98,226,191,208,35,388,131,194
60,209,95,157,55,43,29,52,280,397
61,276,470,460,87,139,51,326,34,253
62,375,153,382,403,243,459,357,451,272
63,43,232,43,195,238,440,108,324,257
64,399,458,52,455,498,493,85,365,138
65,163,336,208,305,339,367,466,350,372
66,105,290,143,33,299,144,25,346,422
67,469,453,134,422,443,132,379,353,262
68,418,95,75,498,284,292,124,287,400
69,250,409,242,383,483,301,459,341,173
70,432,451,466,355,126,365,433,308,327
71,103,490,201,262,480,256,140,311,373
72,204,440,351,475,351,257,26,99,155
73,8,33,179,281,476,115,323,239,387
74,376,341,347,135,404,373,383,171,336
75,106,476,486,42,247,197,212,88,295
76,399,43,155,122,340,299,235,192,404
77,106,21,486,340,159,318,363,194,98
78,466,354,472,354,79,84,488,491,9
79,75,222,214,496,233,285,16,389,489
80,421,404,375,135,328,383,51,281,191
81,408,251,480,234,14,161,280,352,240
82,28,34,468,46,125,429,248,162,470
83,90,310,337,20,67,360,172,388,342
84,82,121,24,222,70,282,341,244,315
85,456,73,474,116,362,430,148,235,402
86,474,151,442,439,324,295,396,450,383
87,363,388,82,150,124,228,199,3,269
88,237,18,438,112,277,442,481,231,336
89,74,279,476,489,257,259,58,335,319
90,201,317,216,156,138,443,170,439,54
91,43,428,393,424,428,402,310,365,69
92,74,448,7,293,360,430,311,307,233
93,43,37,337,48,474,57,398,82,156
94,380,474,368,22,62,197,160,247,475
95,348,68,130,260,155,422,409,290,461
96,14,316,322,122,131,427,248,177,328
97,33,245,492,456,476,128,409,305,182
98,204,291,408,491,362,48,216,145,109
99,169,103,253,331,388,393,220,144,164
100,176,323,57,402,465,248,8,224,34
101,299,155,188,323,420,471,113,114,497
102,186,312,449,120,233,17,338,475,39
103,199,382,468,113,190,59,364,244,149
104,262,39,70,268,133,418,435,1,63
105,243,187,75,197,374,35,165,413,121
106,55,308,239,228,387,404,415,222,335
107,49,246,419,253,438,31,106,124,282
108,489,178,324,352,46,377,193,319,461
109,242,120,212,151,221,498,454,266,19
110,54,498,262,205,455,20,15,303,108
111,218,197,342,244,31,468,479,36,86
112,219,89,65,29,454,45,447,353,226
113,165,6,82,123,489,188,291,366,233
114,76,205,117,71,298,112,431,176,233
115,140,328,316,364,131,27,37,86,182
116,67,413,299,353,222,135,265,324,131
117,54,90,410,323,72,301,327,156,331
118,293,135,110,305,316,412,117,15,105
119,141,163,497,164,398,39,460,57,373
120,136,348,5,10,17,236,377,30,61
121,85,106,39,221,466,436,50,457,102
122,181,172,424,152,41,173,79,293,349
123,155,176,235,297,482,403,10,463,411
124,351,321,103,159,189,276,422,365,175
125,356,362,215,348,184,398,298,70,16
126,135,494,44,140,246,381,467,348,347
127,195,413,319,50,244,65,55,12,142
128,126,359,419,141,204,295,138,367,443
129,371,181,266,395,80,88,162,474,416
130,317,175,256,224,338,250,173,396,400
131,93,137,290,197,256,476,407,141,450
132,163,38,150,128,253,481,447,127,4
133,99,242,138,430,114,24,418,102,165
134,309,118,391,46,246,256,300,155,219
135,42,367,287,256,310,336,52,142,452
136,400,37,352,105,431,180,211,162,136
137,432,453,28,164,132,128,142,427,207
138,382,155,83,404,115,91,100,13,275
139,114,237,499,25,422,311,435,431,312
140,352,152,416,193,12,238,26,265,209
141,255,405,155,331,82,59,309,31,364
142,34,492,193,66,151,314,161,177,438
143,22,252,475,22,5,10,249,480,104
144,362,336,57,53,17,466,490,99,100
145,492,301,374,106,348,80,242,330,29
146,434,128,165,472,4,187,148,441,300
147,406,473,9,258,1,196,19,27,496
148,235,328,160,5,257,293,85,70,229
149,90,340,228,167,464,291,488,272,476
150,177,470,195,392,398,432,316,464,40
151,442,161,253,66,218,283,466,407,291
152,237,416,286,295,127,31,415,407,436
153,434,471,441,186,347,212,273,39,31
154,421,116,198,110,67,49,4,281,64
155,314,270,187,253,209,102,202,195,271
156,354,113,250,464,315,6,414,91,303
157,395,291,393,393,275,173,392,480,453
158,272,379,96,202,410,106,85,42,11
159,340,309,160,143,82,5,68,303,53
160,408,225,180,490,474,353,325,221,152
161,227,35,35,42,84,316,433,484,202
162,458,467,187,366,200,455,6,150,444
163,101,8,368,97,149,58,345,462,453
164,308,168,107,484,434,464,339,292,282
165,214,97,259,49,276,274,467,33,137
166,178,52,443,326,36,65,495,8,296
167,32,13,119,402,87,259,39,50,472
168,170,18,132,494,265,76,319,129,313
169,6,292,55,101,19,33,60,171,131
170,458,13,206,332,127,10,360,349,37
171,343,51,23,264,318,188,81,269,82
172,326,269,241,342,450,42,485,50,130
173,85,23,157,250,46,81,145,451,70
174,90,395,273,406,25,33,253,322,345
175,267,439,276,359,200,371,293,275,207
176,419,345,374,348,442,384,479,91,22
177,439,374,355,393,293,27,223,149,445
178,412,377,257,194,112,131,407,462,181
179,103,375,274,398,411,192,150,139,31
180,49,321,427,212,405,103,147,178,207
181,458,423,325,461,178,100,230,79,369
182,79,135,389,43,257,476,262,156,148
183,414,251,232,290,314,421,269,382,244
184,92,152,469,118,318,117,198,317,202
185,440,354,319,461,457,306,367,299,113
186,176,155,26,475,32,278,190,358,349
187,415,267,336,375,169,349,149,447,314
188,144,432,75,4,237,260,181,456,490
189,278,290,140,104,475,256,416,220,78
190,286,94,333,475,429,398,41,63,254
191,174,279,100,152,458,434,123,296,32
192,121,442,251,76,276,220,6,396,400
193,74,280,117,307,98,316,415,366,282
194,324,53,360,382,424,100,426,283,93
195,31,22,385,406,60,486,202,404,233
196,114,344,409,65,165,441,259,438,167
197,432,14,60,399,428,63,142,32,396
198,345,466,70,42,206,381,251,86,219
199,113,395,59,18,109,65,272,380,265
200,484,424,475,463,242,378,268,36,401
201,28,157,9,44,111,190,265,381,69
202,76,234,152,44,78,421,266,87,394
203,307,338,61,405,341,152,52,473,288
204,322,93,411,328,430,44,483,39,269
205,475,225,410,31,197,241,366,77,86
206,211,330,273,171,172,211,405,411,14
207,225,114,158,204,393,130,306,441,99
208,212,388,184,270,372,101,459,458,310
209,306,240,267,356,491,138,184,129,373
210,190,340,7,117,345,27,369,90,422
211,338,184,36,161,246,243,64,456,339
212,341,8,370,204,452,62,55,203,403
213,255,10,19,335,135,222,96,102,12
214,66,428,24,29,106,14,105,189,258
215,366,91,465,378,417,165,290,439,283
216,383,334,311,165,235,421,336,226,375
217,408,480,448,175,214,431,86,482,412
218,192,435,246,76,367,110,347,307,263
219,30,73,432,96,430,300,283,66,375
220,358,113,480,94,422,8,105,484,308
221,56,451,462,418,384,30,305,141,207
222,110,472,434,199,179,138,150,8,422
223,15,459,238,13,100,120,235,154,463
224,83,114,233,254,396,466,214,29,371
225,140,390,206,195,9,263,163,209,382
226,99,388,464,479,412,445,351,413,63
227,352,206,45,244,342,277,178,332,352
228,128,274,432,458,211,117,329,30,164
229,146,108,331,149,342,453,360,429,42
230,239,137,252,121,165,257,56,49,151
231,226,242,260,152,351,259,384,307,378
232,406,494,122,219,306,277,10,356,415
233,401,331,293,197,154,36,256,8,479
234,117,260,249,79,68,178,233,354,122
235,430,241,34,256,196,269,212,399,375
236,261,236,161,327,102,149,402,362,124
237,295,140,445,79,52,202,23,160,164
238,81,160,446,343,311,185,41,484,122
239,375,248,476,160,213,255,361,340,98
240,248,290,385,360,96,433,179,9,428
241,229,481,318,432,227,74,459,483,406
242,206,83,350,346,416,311,443,62,208
243,295,187,37,36,203,426,162,303,329
244,350,267,160,305,178,146,133,157,213
245,346,200,195,279,347,107,229,70,270
246,147,88,89,285,379,60,388,409,256
247,64,34,22,132,391,428,278,228,407
248,221,459,161,391,244,41,152,237,115
249,484,153,280,288,421,130,89,277,403
250,52,181,70,342,257,193,178,18,128
251,9,144,186,382,31,402,267,201,465
252,480,257,128,222,371,253,114,387,51
253,452,303,350,143,403,161,220,396,495
254,36,29,71,283,470,73,185,46,177
255,211,197,168,52,478,408,317,307,98
256,278,455,167,436,42,460,349,435,380
257,380,136,244,421,128,120,9,420,442
258,136,208,454,196,82,460,26,97,33
259,435,420,162,461,422,100,46,233,322
260,335,213,172,344,308,145,363,97,391
261,419,330,163,206,374,366,90,359,480
262,91,261,239,433,305,260,27,302,104
263,73,52,309,163,406,176,418,308,494
264,186,100,441,124,147,480,144,463,391
265,90,34,34,435,236,163,223,103,417
266,221,200,483,154,441,327,384,456,171
267,407,222,335,146,227,398,83,473,350
268,434,489,393,388,268,319,54,111,417
269,187,209,457,193,475,391,270,462,228
270,288,372,330,473,163,85,42,126,471
271,167,5,391,460,452,364,60,406,98
272,294,6,16,23,423,159,309,395,228
273,420,341,283,252,182,435,131,244,42
274,348,218,243,202,46,19,123,403,111
275,82,386,155,12,443,385,120,339,294
276,20,268,283,325,50,413,220,163,136
277,177,148,56,270,145,240,456,156,306
278,407,120,463,39,259,190,213,40,211
279,125,269,97,441,306,420,428,12,441
280,63,432,79,429,3,167,124,385,95
281,368,188,469,461,117,255,223,344,162
282,92,363,349,166,40,480,155,460,464
283,338,57,293,474,17,375,402,473,425
284,41,440,177,447,412,460,116,183,105
285,371,190,376,190,127,398,253,335,385
286,367,111,93,231,165,431,451,162,171
287,249,200,74,29,224,414,461,399,372
288,369,340,191,334,121,452,476,266,423
289,75,94,493,247,448,79,161,331,122
290,72,155,346,144,286,107,285,189,38
291,215,348,442,111,124,411,79,380,415
292,424,161,156,422,247,56,350,155,260
293,114,395,323,295,175,490,227,92,197
294,261,392,213,253,451,487,180,60,228
295,53,403,32,386,56,353,249,3,148
296,149,394,477,293,144,430,174,400,3
297,217,50,68,400,291,302,204,454,447
298,264,57,344,226,202,235,282,266,380
299,138,152,219,293,398,112,108,290,302
300,493,354,27,111,356,472,366,487,71
301,167,48,390,327,347,447,156,94,440
302,409,199,171,347,93,260,247,300,115
303,184,414,414,268,348,230,101,48,493
304,431,249,317,65,52,172,435,163,280
305,461,31,155,330,387,116,411,368,312
306,345,481,266,148,56,100,138,103,293
307,57,63,430,234,468,304,399,335,161
308,100,436,65,6,446,64,7,496,218
309,385,458,335,385,14,199,316,292,462
310,19,38,95,284,270,368,264,1,482
311,255,332,416,242,265,220,316,457,495
312,368,442,83,317,190,95,305,296,288
313,7,486,344,299,254,225,63,23,381
314,341,148,204,214,180,182,272,172,320
315,375,278,88,473,301,323,166,366,197
316,313,305,277,343,198,99,388,191,185
317,105,319,236,314,305,386,148,444,125
318,175,284,337,126,113,291,327,94,482
319,34,195,187,91,90,231,254,100,443
320,74,352,229,188,134,273,183,106,250
321,128,411,236,100,440,366,411,455,183
322,388,238,37,30,260,361,245,283,351
323,44,381,250,367,349,19,488,194,88
324,247,487,335,88,322,439,261,146,282
325,433,444,414,499,408,261,463,165,484
326,206,1,178,13,290,305,108,119,91
327,497,175,356,119,209,385,464,436,327
328,165,52,119,78,408,368,310,247,104
329,295,231,135,152,56,238,389,425,400
330,422,31,396,238,238,475,23,379,35
331,17,291,27,125,214,380,214,175,249
332,60,164,52,81,335,475,48,453,479
333,95,388,49,463,460,294,223,143,119
334,171,212,75,160,116,368,21,301,403
335,375,177,100,283,71,179,57,292,171
336,138,32,435,494,363,208,438,338,435
337,419,108,442,257,160,193,215,261,458
338,20,163,377,399,284,375,365,386,148
339,471,385,430,40,427,415,180,93,421
340,495,272,482,42,247,385,11,70,199
341,322,450,436,182,268,470,319,86,280
342,356,207,95,23,365,404,114,206,7
343,101,114,191,469,349,475,64,387,344
344,379,73,178,282,68,416,448,317,70
345,214,490,318,452,75,223,424,359,286
346,34,375,244,60,82,339,386,272,251
347,360,357,45,385,447,84,102,214,462
348,337,126,356,114,337,292,341,464,302
349,139,83,405,304,386,350,55,459,370
350,491,19,255,420,326,401,357,43,69
351,364,478,279,6,368,271,254,436,497
352,336,135,151,460,276,184,132,168,176
