,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,217,313,122,330,410,61,288,307,113
1,393,54,236,194,70,379,125,357,232
2,392,72,263,236,111,117,122,100,42
3,127,134,183,115,376,344,499,187,301
4,33,274,193,211,70,434,176,462,75
5,447,469,288,387,93,290,291,362,270
6,191,408,66,147,450,171,190,84,8
7,230,14,432,295,50,171,273,207,38
8,438,361,102,146,371,385,236,115,387
9,48,145,53,344,299,308,399,294,400
10,259,89,83,491,225,449,18,460,359
11,169,223,362,124,418,298,127,246,3
12,102,357,68,388,319,331,367,480,421
13,444,381,33,79,8,435,250,215,215
14,162,169,15,310,322,150,348,196,406
15,173,181,498,10,403,280,21,176,8
16,390,436,336,32,322,498,310,294,388
17,125,168,8,322,441,200,427,292,65
18,255,407,111,312,214,138,67,189,404
19,82,3,384,275,363,71,438,145,403
20,16,425,287,400,309,145,315,57,258
21,480,407,255,133,211,324,294,208,188
22,71,195,137,302,350,278,288,344,177
23,338,464,409,376,51,66,469,14,499
24,243,77,321,380,470,53,41,2,283
25,384,251,193,130,400,145,113,262,197
26,420,366,447,88,246,190,28,387,12
27,270,296,14,117,448,263,490,193,338
28,14,306,10,332,347,370,193,331,178
29,104,497,396,67,231,78,390,413,452
30,339,189,85,339,325,180,478,343,270
31,291,402,4,412,360,223,355,461,325
32,212,53,116,212,176,383,89,427,129
33,152,119,459,225,237,451,169,321,72
34,138,322,5,382,201,59,235,226,60
35,449,369,104,342,235,123,100,211,187
36,25,439,89,27,416,487,495,383,279
37,244,309,26,464,51,291,259,452,209
38,246,350,493,311,114,162,110,321,288
39,42,186,296,70,176,116,280,440,382
40,457,139,260,307,261,310,47,35,425
41,79,453,139,116,277,407,147,126,482
42,177,224,75,429,18,356,474,481,237
43,388,174,65,337,334,252,389,495,300
44,4,155,66,158,7,471,239,417,221
45,59,207,38,71,321,433,435,57,279
46,444,481,31,33,248,476,44,7,389
47,384,280,311,371,229,386,32,442,68
48,31,283,309,455,359,117,63,76,6
49,382,403,344,309,194,481,79,227,338
50,72,53,80,474,335,272,426,298,485
51,226,141,188,379,482,320,462,159,428
52,22,417,234,456,17,229,409,408,431
53,142,194,103,44,383,69,358,390,303
54,45,263,252,149,141,201,144,291,267
55,162,310,146,243,163,489,485,463,314
