,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,314,250,57,241,60,109,93,281,284
1,83,282,3,469,479,172,303,412,288
2,126,372,392,442,406,460,237,433,31
3,95,408,237,219,267,24,67,9,257
4,118,387,227,438,260,333,320,149,273
5,199,209,43,187,438,301,58,219,171
6,59,152,498,284,419,59,199,162,272
7,300,106,349,270,145,414,151,69,433
8,212,79,193,212,96,379,492,2,122
9,491,161,166,482,177,323,310,382,115
10,55,326,466,118,371,462,240,400,95
11,285,200,232,297,284,486,154,288,472
12,484,281,423,427,275,304,274,154,335
13,178,311,244,140,246,454,302,192,393
14,51,147,180,230,380,21,29,352,433
15,230,444,162,298,393,221,254,93,141
16,39,278,71,6,112,412,62,421,334
17,385,300,135,76,160,76,97,12,423
18,494,302,72,45,38,95,180,227,133
19,189,410,238,417,304,194,62,422,450
20,161,161,15,255,181,493,443,149,70
21,69,227,271,74,103,350,216,374,86
22,445,286,289,33,197,127,345,246,115
23,52,493,160,312,297,246,249,459,251
24,195,22,176,170,111,252,27,364,44
25,226,384,139,172,476,333,50,246,72
26,109,370,103,32,347,253,458,67,439
27,393,140,249,237,493,13,14,196,336
28,63,17,306,275,280,406,105,473,337
29,400,318,166,375,47,317,215,490,382
30,87,412,267,28,440,128,141,317,245
31,289,47,20,215,437,15,452,277,114
32,426,311,167,212,97,42,303,253,33
33,318,43,376,440,206,410,259,202,274
34,48,44,384,375,374,126,388,97,458
35,257,477,329,310,14,238,362,233,328
36,21,229,62,270,79,432,252,352,20
37,260,52,179,294,231,416,362,295,184
38,321,123,353,342,429,250,404,66,367
39,74,386,71,294,181,50,262,198,148
40,146,357,313,266,170,418,423,299,75
41,168,82,356,94,492,319,339,190,135
42,55,273,463,141,169,126,197,371,453
43,484,146,211,325,83,213,335,195,188
44,106,159,315,284,191,386,88,169,46
45,193,241,130,341,495,445,135,390,40
46,135,375,27,54,383,410,81,145,481
47,326,70,280,300,82,1,74,324,258
48,188,161,289,437,431,269,260,331,87
49,112,392,95,196,436,410,137,365,36
50,273,411,194,211,214,152,290,401,439
51,422,482,329,188,447,228,81,266,238
52,183,473,286,278,205,356,165,437,215
53,192,258,440,196,312,449,239,193,53
54,266,367,11,144,13,343,303,438,107
55,317,274,89,355,251,195,499,345,54
56,389,280,309,26,270,281,112,456,174
57,143,312,21,168,38,429,195,271,495
58,305,357,415,450,186,468,166,205,75
59,451,364,207,297,313,25,303,180,423
60,419,350,265,367,317,186,464,249,53
61,496,424,483,402,461,135,411,292,156
62,354,13,160,316,391,221,387,260,5
63,298,282,381,473,323,402,176,268,258
64,223,169,467,271,337,74,134,382,138
65,278,269,487,50,458,135,185,204,417
66,485,129,422,218,120,338,197,497,291
67,449,37,147,454,498,489,254,124,17
68,471,346,385,302,125,441,136,162,93
69,228,311,70,27,459,117,339,14,195
70,433,380,443,409,408,264,142,180,249
71,305,38,87,238,170,439,280,244,227
72,87,125,359,494,467,362,271,12,458
73,395,320,84,320,22,225,153,204,467
74,127,440,186,175,432,451,491,383,284
75,399,371,459,323,254,430,380,124,270
76,118,489,24,408,180,264,476,458,266
77,350,485,31,262,484,187,278,299,62
78,228,114,370,303,182,399,61,154,488
79,140,186,113,355,170,59,227,21,88
80,192,410,329,189,30,319,474,391,488
81,161,140,336,153,237,440,57,489,180
82,157,31,355,276,271,296,9,68,439
83,422,175,246,75,319,346,222,93,214
84,341,338,420,211,342,367,74,10,396
85,354,34,157,442,239,108,242,56,227
86,42,296,229,268,136,147,307,36,387
87,286,450,38,221,370,106,408,271,162
88,22,443,476,397,189,306,183,183,400
89,135,133,307,265,191,427,466,198,401
90,273,365,439,88,266,3,160,349,22
91,373,428,449,296,240,107,459,10,494
92,114,188,425,143,111,160,447,350,302
93,221,91,275,77,359,472,6,266,317
94,47,454,30,106,159,159,370,472,124
95,99,10,424,223,358,390,154,260,440
96,286,405,453,384,475,294,456,278,252
97,27,292,44,362,81,29,488,384,417
98,92,373,301,431,188,214,324,117,428
99,438,116,239,157,42,307,290,241,84
100,260,152,202,390,310,495,263,445,397
101,401,9,60,395,413,437,136,12,316
102,302,258,322,54,457,205,181,369,241
103,226,270,348,67,300,283,180,454,415
104,253,16,301,328,280,33,302,187,202
105,205,336,456,456,75,21,353,166,380
106,472,439,313,443,21,376,134,129,38
107,42,282,291,281,483,146,310,122,187
108,285,215,220,418,139,442,149,51,461
109,242,458,46,75,484,269,69,81,267
110,492,333,12,276,313,65,412,187,336
111,204,72,25,372,499,332,303,35,130
112,6,392,20,459,181,99,82,210,189
113,441,467,152,345,105,126,434,357,7
114,240,112,64,146,390,364,406,170,47
115,425,213,421,46,462,60,303,244,387
116,151,46,94,232,425,291,405,374,459
117,337,127,185,48,212,63,5,175,79
118,483,214,355,239,449,59,147,305,446
119,271,257,207,499,178,287,487,18,306
120,498,267,242,94,82,391,356,490,458
121,403,383,449,486,390,231,33,144,269
122,327,429,169,163,143,293,322,477,278
123,135,359,241,250,10,100,210,310,262
124,348,318,231,264,165,490,77,176,237
125,267,449,125,340,399,422,222,66,16
126,278,432,43,45,470,166,465,69,448
127,491,207,25,398,435,266,51,424,251
128,144,204,292,432,15,323,34,477,191
129,415,345,162,201,187,179,446,207,252
130,284,125,305,334,397,202,354,160,463
131,212,74,310,400,373,172,69,469,373
132,231,355,496,466,387,237,399,466,237
133,325,137,377,243,319,446,218,78,366
134,120,317,5,372,162,75,469,474,376
135,329,216,311,371,420,56,135,178,494
136,185,312,334,83,310,378,201,397,368
137,273,16,252,74,52,463,188,109,277
138,226,258,320,60,197,26,481,204,180
139,404,375,476,462,423,114,279,390,307
140,211,10,136,71,96,417,365,458,305
141,216,240,392,423,450,32,347,448,321
142,129,406,494,106,276,198,416,349,476
143,90,281,268,400,410,450,236,484,118
144,142,237,496,20,194,223,271,472,47
145,239,147,143,48,95,14,313,152,100
146,216,427,430,72,205,207,447,479,338
147,324,357,173,264,473,149,456,391,188
148,141,246,241,36,299,497,432,208,386
149,226,305,149,234,86,108,481,367,272
150,208,251,489,120,283,385,347,202,173
151,53,277,29,80,87,313,477,387,308
152,12,175,39,327,331,499,484,254,295
153,232,124,158,324,13,456,279,313,148
154,475,371,189,3,256,104,64,157,420
155,414,274,381,171,156,499,44,358,207
156,420,82,42,96,491,92,97,409,213
157,264,43,58,274,88,151,174,350,208
158,79,469,4,363,341,267,239,293,413
159,388,181,41,308,277,1,193,393,8
160,404,111,298,291,453,52,499,251,325
161,369,374,348,203,117,38,168,73,405
162,435,24,477,417,406,120,385,327,417
163,248,209,157,159,116,484,150,44,45
164,237,377,277,372,341,257,125,362,448
165,390,171,348,79,361,217,122,403,243
166,73,496,377,214,256,483,327,375,155
167,175,408,278,248,263,123,146,366,109
168,88,50,303,86,434,150,25,31,192
169,255,173,49,127,341,234,152,489,18
170,226,248,330,162,263,295,216,250,104
171,234,377,110,341,408,178,357,494,192
172,217,171,94,25,100,319,306,465,5
173,126,452,77,70,381,478,483,392,65
174,356,41,55,66,363,23,286,488,276
175,303,292,322,436,9,252,344,191,218
176,367,421,440,24,94,299,414,32,97
177,456,209,95,362,347,247,17,31,302
178,261,496,408,157,285,117,63,84,340
179,352,460,400,42,54,199,169,65,170
180,396,41,19,367,273,214,408,293,131
181,194,335,31,396,239,161,466,458,490
182,141,350,337,413,459,91,228,74,230
183,27,71,433,433,4,127,15,421,497
184,167,39,436,499,254,382,476,161,361
185,62,253,227,422,288,482,319,224,329
186,486,372,87,216,179,455,196,243,150
187,34,454,296,163,4,215,66,468,182
188,28,255,354,347,201,171,462,93,486
189,313,223,422,237,477,342,404,463,143
190,58,241,178,203,55,235,326,370,415
191,232,93,207,49,396,489,203,341,40
192,215,81,120,121,240,231,307,110,474
193,436,210,387,413,34,19,234,165,377
194,248,412,55,300,57,39,242,97,169
195,55,152,371,40,218,485,453,447,441
196,202,17,299,56,469,54,218,356,202
197,171,355,384,341,84,334,316,488,21
198,313,283,100,100,171,208,59,340,246
199,144,341,123,132,47,38,278,425,311
200,199,242,4,431,59,280,5,141,156
201,47,132,288,302,434,189,409,337,306
202,496,390,401,66,166,388,475,483,251
203,346,70,271,105,447,497,239,350,9
204,304,2,50,146,429,134,324,121,86
205,26,390,143,278,419,33,466,482,142
206,337,307,433,489,47,497,60,19,185
207,121,240,311,25,176,156,103,156,332
208,495,27,293,484,195,480,403,161,499
209,119,325,179,376,107,12,280,257,136
210,285,370,171,258,255,477,108,7,448
211,353,34,299,136,486,259,376,68,367
212,228,439,257,207,54,329,236,102,129
213,448,345,417,318,433,428,3,63,100
214,20,427,39,343,187,165,198,157,212
215,252,288,250,365,64,370,337,18,188
216,439,388,97,265,340,433,449,119,292
217,341,134,167,481,476,253,46,21,450
218,248,57,498,21,40,227,323,323,57
219,127,181,446,319,31,282,65,66,373
220,355,225,9,353,74,445,360,208,70
