,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,377,138,393,249,306,436,450,171,227
1,178,278,228,254,348,484,428,417,297
2,101,8,185,204,347,300,393,374,208
3,252,453,471,159,312,410,207,159,55
4,172,213,391,387,83,164,343,128,467
5,277,397,186,149,269,328,24,357,26
6,319,34,482,175,162,309,246,100,434
7,124,220,150,57,202,424,434,247,190
8,351,353,312,43,227,273,33,2,20
9,257,270,409,335,349,479,386,362,435
10,108,389,497,147,110,336,228,463,472
11,90,407,307,411,363,348,451,273,330
12,143,258,159,257,372,311,321,166,289
13,16,24,236,260,204,215,419,39,496
14,220,429,76,223,105,347,261,71,84
15,458,330,317,211,369,323,94,385,479
16,304,79,436,368,312,192,233,261,101
17,12,169,267,183,432,110,38,293,57
18,269,368,176,159,261,323,179,462,249
19,470,456,390,426,48,354,109,120,379
20,285,128,239,288,221,325,181,74,109
21,406,496,149,178,258,485,460,352,161
22,142,445,375,271,3,171,309,244,362
23,365,133,315,324,159,460,140,52,136
24,350,199,331,290,231,199,417,55,73
25,402,326,327,475,391,106,439,176,216
26,300,418,76,89,28,158,498,294,453
27,249,339,12,203,272,173,235,192,404
28,12,352,466,380,352,269,127,18,257
29,251,197,476,373,309,379,18,148,181
30,161,89,437,471,346,333,180,393,471
31,184,418,90,247,271,269,411,435,14
32,241,289,380,203,128,227,189,133,378
33,407,56,5,372,481,9,277,441,396
34,308,185,366,485,422,28,239,90,105
35,370,343,164,221,244,358,451,284,19
36,467,56,474,400,26,470,50,444,399
37,360,411,478,313,34,218,34,1,498
38,164,358,58,259,229,494,283,442,367
39,420,6,441,40,96,78,37,317,257
40,206,26,255,96,104,53,151,269,129
41,452,293,259,92,107,402,405,475,268
42,261,178,122,47,291,350,344,219,118
43,17,344,411,283,70,110,230,288,48
44,282,142,408,447,432,18,183,414,325
45,205,157,257,278,362,184,214,150,273
46,342,445,219,141,499,35,359,366,116
47,314,186,402,6,190,54,259,20,228
48,419,291,437,340,323,153,24,163,193
49,307,75,433,400,314,98,267,453,10
50,204,97,268,284,295,438,27,199,203
51,266,120,478,346,31,145,38,416,318
52,119,455,84,258,14,444,283,317,477
53,476,143,204,232,109,35,307,200,93
54,439,288,375,129,259,472,52,202,232
55,37,263,214,157,147,64,264,178,272
56,96,490,7,65,452,437,461,126,453
57,127,337,227,425,248,429,241,270,402
58,95,270,5,433,143,216,142,270,336
59,35,310,201,402,478,149,166,340,181
60,418,428,104,397,103,350,432,53,191
61,193,164,120,370,431,383,16,384,323
62,159,142,100,4,469,296,474,345,39
63,291,407,2,499,384,364,31,442,255
64,125,26,443,354,76,448,105,176,123
65,486,290,457,420,386,259,190,335,118
66,32,29,37,10,404,96,334,26,428
67,275,56,120,14,226,467,184,295,426
68,349,434,476,173,273,69,99,310,389
69,382,128,455,155,273,335,128,265,391
70,426,494,112,188,449,493,214,76,191
71,182,254,16,240,223,238,45,108,302
72,44,149,358,219,125,365,36,331,116
