,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,489,65,264,300,490,189,314,405,439
1,427,352,121,270,324,89,49,402,175
2,358,44,185,79,479,72,428,47,166
3,277,361,375,152,343,49,426,267,455
4,222,384,172,182,334,94,388,57,151
5,454,280,40,471,271,312,174,215,107
6,160,370,212,380,178,351,178,467,114
7,174,291,9,98,447,44,421,9,190
8,35,111,349,461,445,154,439,339,251
9,200,486,414,133,10,224,468,125,497
10,320,445,336,190,212,263,104,260,408
11,435,386,298,125,289,408,36,118,326
12,167,217,339,425,46,354,297,70,12
13,321,67,60,458,400,219,275,33,251
14,82,166,337,329,89,23,39,294,12
15,475,84,108,25,382,491,398,288,363
16,130,47,89,222,79,248,184,293,244
17,92,238,78,320,296,127,307,397,411
18,91,312,158,7,344,496,33,220,438
19,139,269,459,411,101,196,182,127,226
20,167,235,355,60,462,244,136,231,215
21,465,244,211,465,172,476,452,239,37
22,466,313,462,104,343,285,339,318,15
23,284,342,91,34,83,496,364,211,300
24,294,137,188,42,312,257,183,315,458
25,242,85,373,485,378,445,211,69,379
26,194,385,440,119,17,359,465,322,415
27,498,128,15,444,208,245,331,413,356
28,480,344,86,368,118,45,464,299,365
29,443,137,89,214,377,148,364,206,275
30,297,276,403,88,192,301,131,369,294
31,162,248,147,46,467,329,347,146,222
32,302,487,421,187,253,158,51,67,114
33,398,328,52,203,359,339,71,480,457
34,11,247,57,316,402,282,188,340,138
35,171,282,51,394,69,458,369,76,231
36,473,244,148,498,132,397,247,191,363
37,237,252,277,39,218,461,365,222,350
38,36,330,42,54,48,474,386,94,476
39,99,146,69,277,142,485,303,386,444
40,387,233,390,258,369,405,406,412,71
41,7,287,356,82,65,14,453,223,369
42,20,176,29,86,315,296,304,345,278
43,321,408,86,216,364,395,28,268,483
44,395,175,422,74,20,377,311,46,312
45,493,190,364,218,307,163,383,216,111
46,498,360,359,113,38,442,256,281,350
47,368,477,36,439,274,202,224,181,328
48,45,491,48,218,491,372,95,444,281
49,202,206,278,421,481,456,163,433,469
50,421,149,499,225,261,286,29,183,409
51,91,410,188,46,46,290,420,407,115
52,480,389,462,275,288,369,22,437,91
53,155,343,441,429,462,390,473,76,378
54,253,314,232,290,298,54,70,489,110
55,44,257,157,303,487,372,403,496,330
56,255,102,20,153,296,22,55,352,138
57,379,306,313,453,441,20,146,408,261
58,244,23,463,152,321,349,273,344,84
59,444,464,83,77,33,228,62,279,81
60,288,68,217,330,342,45,110,216,86
61,392,381,377,28,89,333,14,211,367
62,272,397,354,126,320,427,391,457,291
63,93,19,375,450,24,105,28,437,407
64,203,360,6,477,76,116,294,140,154
65,494,376,7,299,18,383,41,146,497
66,499,123,311,363,395,254,258,76,299
67,341,442,295,391,332,360,44,201,417
68,374,393,227,326,28,282,194,489,207
69,180,351,387,456,411,127,304,235,290
70,43,342,483,265,173,41,217,404,290
71,372,102,177,331,49,435,345,231,305
72,301,270,435,499,398,487,281,371,96
73,459,427,294,38,282,148,468,61,422
