,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,293,414,107,224,321,263,169,499,474
1,150,424,80,34,453,48,272,133,131
2,415,94,312,329,24,20,387,287,275
3,329,204,74,324,357,364,258,196,390
4,123,498,248,129,489,412,266,180,218
5,381,381,308,11,163,321,189,419,368
6,446,139,416,75,417,494,380,25,282
7,113,460,361,431,85,441,142,470,437
8,334,442,352,108,403,313,293,219,427
9,380,83,389,213,248,79,222,20,248
10,357,154,356,3,295,368,20,89,284
11,431,117,493,248,346,257,174,135,482
12,134,75,287,123,437,457,144,233,113
13,193,322,343,358,72,164,494,160,90
14,1,44,138,94,138,125,204,327,340
15,265,74,307,144,63,48,463,134,269
16,301,310,433,169,233,161,34,418,40
17,442,474,160,400,70,185,305,307,138
18,65,350,393,113,424,172,457,242,146
19,451,430,270,41,487,95,245,205,444
20,486,320,297,374,249,361,346,107,379
21,296,376,244,1,335,149,482,419,474
22,477,12,148,435,44,443,451,27,360
23,464,362,255,444,302,491,134,307,497
24,434,70,97,221,246,231,93,62,94
25,405,383,361,170,7,78,66,146,437
26,477,311,163,387,499,76,194,270,155
27,297,167,413,454,186,111,106,121,204
28,133,295,269,193,273,124,353,431,291
29,323,471,189,184,261,306,302,295,309
30,187,60,251,390,406,381,244,35,216
31,492,180,417,488,369,116,69,466,207
32,435,101,229,215,383,295,288,161,237
33,389,57,327,219,18,9,245,330,291
34,366,1,15,353,310,212,252,454,223
35,125,186,456,379,191,305,263,291,436
36,392,165,402,200,371,159,374,175,243
37,326,337,232,97,464,159,417,113,172
38,42,376,397,232,436,39,202,110,447
39,400,182,401,253,186,220,327,75,464
40,372,242,383,280,44,494,163,204,135
41,393,7,373,1,181,72,205,60,227
42,80,252,442,324,326,214,499,220,440
43,49,292,310,123,370,55,219,205,78
44,350,422,463,99,332,287,363,495,188
45,318,64,120,163,320,27,488,459,277
46,370,302,88,93,304,316,280,43,140
47,419,204,162,171,270,339,395,422,253
48,419,206,288,151,114,305,195,368,303
49,145,413,146,25,171,349,136,232,167
50,326,297,471,43,126,112,393,146,447
51,163,30,259,309,81,90,25,380,391
52,258,20,109,432,437,254,321,485,320
53,405,254,360,260,84,440,45,416,392
54,171,103,288,482,331,347,371,467,233
55,358,461,373,278,281,210,416,89,351
56,267,328,97,141,219,202,33,22,199
57,35,221,307,147,126,110,348,343,124
58,322,365,162,479,343,133,115,148,464
59,285,50,309,461,407,340,85,394,124
