,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,182,437,97,221,283,18,475,323,348
1,32,281,429,219,196,399,101,282,207
2,21,470,264,38,191,409,389,479,258
3,324,394,26,174,208,50,401,381,104
4,303,245,114,452,407,46,457,159,352
5,284,26,99,385,416,323,183,428,132
6,373,140,483,87,349,307,201,383,278
7,431,51,176,5,122,86,121,89,136
8,247,79,448,227,168,186,76,312,172
9,245,191,313,307,442,455,165,146,181
10,483,289,62,379,285,42,473,40,260
11,109,378,81,115,402,489,401,252,165
12,183,31,474,212,11,134,325,278,249
13,356,110,60,493,38,264,72,326,78
14,71,444,492,241,449,65,79,490,172
15,116,97,325,239,484,234,82,38,414
16,148,319,385,80,375,382,407,221,316
17,21,446,273,282,92,14,235,104,427
18,327,287,372,139,37,266,220,201,162
19,177,73,452,33,177,70,398,274,192
20,290,358,345,483,220,224,350,47,442
21,250,15,245,69,230,485,343,407,269
22,379,271,142,178,324,454,44,78,73
23,296,388,15,368,138,469,11,419,152
24,460,182,435,121,1,236,475,430,458
25,434,282,423,497,195,434,470,99,20
26,349,479,167,197,276,168,419,250,439
27,337,448,104,28,181,190,422,353,315
28,339,282,373,376,189,369,191,41,148
29,295,105,473,10,37,185,45,271,57
30,98,484,376,207,142,271,285,82,163
31,368,193,149,489,383,415,293,18,286
32,104,243,261,264,471,340,168,378,225
33,362,282,428,454,447,396,269,270,264
34,181,53,380,269,409,244,194,401,163
35,329,361,7,462,240,149,251,235,122
36,490,185,466,148,184,267,362,213,340
37,183,421,154,54,272,409,85,1,454
38,224,463,60,27,276,431,428,162,373
39,74,111,268,136,343,13,164,487,236
40,203,217,121,453,348,487,480,249,87
41,436,314,235,478,467,471,171,44,41
42,348,301,490,8,402,265,392,379,359
43,384,295,233,20,280,231,314,81,225
44,91,443,56,388,186,481,339,496,360
45,148,117,212,188,243,417,350,86,173
46,341,430,16,200,216,85,28,449,302
47,463,435,90,8,413,388,409,52,445
48,164,335,405,278,76,390,221,497,187
49,408,44,302,54,465,302,307,440,297
50,352,270,65,308,403,488,291,453,348
51,136,62,284,31,145,299,331,407,101
52,457,207,143,239,110,196,42,317,407
53,294,411,356,143,236,390,306,370,228
54,490,153,169,239,355,101,3,484,492
55,68,394,235,355,96,296,289,394,46
56,354,207,492,494,332,166,123,38,373
57,104,202,373,492,485,338,230,484,348
58,336,77,360,434,256,155,245,300,110
59,136,344,83,78,225,309,395,226,119
60,412,345,116,93,307,190,369,272,317
61,30,283,203,165,335,47,443,364,335
62,300,250,352,229,108,436,421,116,29
63,135,397,37,49,480,426,256,49,87
64,421,225,82,426,299,307,276,81,394
65,342,4,351,27,154,173,71,182,10
66,119,252,475,63,24,210,261,261,402
67,304,194,307,295,127,94,443,80,438
68,354,497,490,158,109,442,189,482,79
69,20,91,41,294,294,226,2,491,192
70,285,175,86,329,303,460,178,272,431
71,199,347,198,485,302,310,495,343,320
72,262,367,311,52,200,218,377,99,213
73,203,396,458,228,72,12,225,258,181
74,121,187,386,50,344,112,292,233,464
75,48,486,411,281,155,217,461,228,427
76,354,53,100,71,17,375,496,498,55
77,387,52,355,333,57,13,138,221,86
78,282,330,187,409,305,474,221,6,343
79,4,397,295,454,226,280,2,34,452
80,248,460,82,247,250,434,463,184,243
81,277,410,375,58,193,141,200,76,490
82,17,4,456,211,41,375,382,61,27
83,136,160,491,315,214,273,384,437,72
84,373,362,180,424,124,195,135,131,16
85,204,410,60,357,340,151,217,493,124
86,178,444,62,92,215,454,278,30,338
87,68,108,359,12,16,201,113,181,295
88,132,96,104,55,21,128,298,74,261
89,132,83,401,496,162,419,326,129,178
90,492,225,179,269,397,252,85,124,460
91,75,231,279,52,459,276,480,478,245
92,453,132,398,377,72,402,424,136,119
93,266,93,139,495,165,339,295,305,167
94,329,72,224,284,235,4,449,347,299
95,280,266,308,186,487,277,170,235,54
96,165,364,361,108,444,304,61,135,346
97,221,31,154,161,482,4,445,45,43
98,334,295,220,452,227,281,376,104,412
99,393,461,365,494,349,327,363,112,227
100,226,25,208,85,260,343,2,481,107
101,119,209,63,446,444,324,330,469,331
102,44,319,466,133,183,460,308,251,202
103,233,82,319,149,2,22,415,177,289
104,301,139,243,347,304,70,248,199,246
105,22,290,408,205,67,43,163,87,374
106,427,216,143,244,455,105,343,386,382
107,498,375,235,419,360,250,404,254,327
108,284,316,15,462,383,192,300,172,398
109,273,322,87,480,237,161,291,180,58
110,40,15,309,24,490,165,208,28,189
111,107,46,454,474,263,203,82,438,23
112,183,341,118,57,402,394,206,227,451
113,272,436,400,272,245,149,426,236,144
114,497,11,58,311,157,346,6,69,237
115,264,379,36,386,369,248,183,244,232
116,42,458,28,407,52,436,223,62,472
117,154,209,440,15,248,2,449,92,24
118,179,457,283,350,258,5,275,498,223
119,185,122,50,368,404,360,163,86,389
120,392,333,82,61,125,154,371,108,102
121,372,315,369,80,485,55,94,441,351
122,415,174,170,487,201,270,448,179,167
123,360,232,279,482,140,64,95,112,195
124,465,394,138,154,210,414,455,58,27
125,321,34,467,240,362,389,116,462,290
126,261,300,248,323,134,366,87,260,373
127,62,346,147,351,152,135,151,396,472
128,436,362,460,406,70,329,375,8,245
129,424,264,149,65,210,69,384,72,258
130,339,203,201,15,415,171,148,164,186
131,39,75,167,331,409,465,399,255,409
132,249,168,66,31,195,236,36,344,194
133,172,291,311,301,5,124,391,40,256
134,358,342,354,59,20,61,22,89,177
135,197,316,5,304,484,162,249,179,263
136,421,86,305,418,450,70,442,43,11
137,107,337,79,237,120,161,251,43,5
138,344,31,465,440,365,237,300,306,177
139,463,92,142,237,193,320,269,365,22
140,24,28,454,149,274,125,38,312,87
141,368,29,295,54,446,250,309,310,59
142,390,454,404,161,201,75,199,173,189
143,223,132,499,369,190,476,292,312,201
144,436,323,78,382,390,181,109,314,34
145,470,417,151,303,84,25,59,494,103
146,82,247,275,82,462,87,201,312,204
147,375,322,232,479,218,258,301,190,409
148,116,287,20,410,94,360,358,262,457
149,137,235,356,423,221,348,164,208,442
150,399,12,172,116,17,191,450,218,325
151,56,97,424,321,157,330,66,248,268
152,155,24,132,46,132,92,215,39,401
153,337,325,54,250,217,81,49,390,204
154,481,490,467,187,429,111,323,413,122
155,375,323,250,244,159,401,21,182,23
156,140,350,200,362,67,204,98,203,209
157,489,71,161,314,425,22,5,485,103
158,400,169,76,82,490,10,480,390,476
159,67,163,95,409,73,94,393,210,149
160,102,151,202,396,13,95,250,4,364
161,113,8,73,258,377,341,104,77,32
162,107,182,489,412,459,16,222,377,380
163,187,65,4,468,245,433,306,5,177
164,113,156,418,147,174,82,253,13,239
165,469,357,158,140,398,243,230,224,70
166,73,165,43,332,317,256,64,238,10
167,171,272,23,93,302,8,141,223,187
168,482,231,243,482,372,422,247,220,209
169,41,425,32,378,396,420,325,152,282
170,140,317,65,495,115,394,487,108,328
171,405,185,446,227,253,423,142,81,185
172,290,308,43,70,88,273,394,131,489
173,48,114,47,87,133,56,424,301,90
174,448,377,174,195,44,67,130,118,239
175,79,321,442,219,448,39,281,467,223
176,215,88,276,289,437,365,117,57,267
177,282,473,480,273,330,173,37,351,17
178,162,435,202,345,214,164,245,200,496
179,365,320,363,238,445,243,464,312,477
180,284,86,303,312,201,430,9,370,354
181,137,56,170,295,313,115,273,166,266
182,441,146,257,325,188,403,60,175,230
183,280,58,483,64,137,145,201,144,285
184,457,200,231,84,415,144,121,494,490
185,154,149,186,364,250,191,451,64,304
186,447,13,308,99,302,376,170,272,283
187,285,19,273,24,261,417,173,479,323
188,359,337,86,297,180,452,119,19,273
189,97,169,146,21,431,279,46,180,184
190,341,26,236,419,331,116,413,278,52
191,330,380,196,234,2,289,323,325,69
192,106,413,216,320,324,374,336,396,143
193,41,285,160,410,385,248,372,50,473
194,298,75,42,38,333,302,438,454,284
195,331,432,485,198,298,62,396,38,135
196,144,142,269,294,80,446,200,37,298
197,10,433,339,45,386,331,103,50,73
198,238,419,274,181,468,152,216,192,29
199,37,335,283,237,388,394,7,283,130
200,6,363,264,269,454,2,386,424,210
201,378,496,130,470,192,254,227,322,28
202,62,186,245,364,442,472,288,180,10
203,108,287,123,143,202,262,64,218,246
204,349,449,349,293,475,15,154,415,156
205,63,320,298,274,142,420,452,291,396
206,446,294,127,362,323,27,73,459,127
207,198,10,210,27,215,475,462,326,73
208,217,55,273,106,393,474,302,279,455
209,66,68,68,47,89,448,323,229,7
210,230,297,103,441,250,267,198,460,328
211,383,310,365,322,402,6,410,93,139
212,271,78,255,53,381,245,347,16,267
213,353,263,103,417,304,93,3,372,343
214,163,402,378,183,474,415,191,179,79
215,65,480,254,22,429,439,35,151,289
216,313,74,460,328,374,364,2,387,186
217,415,289,279,494,313,152,472,384,336
218,237,403,138,92,129,111,441,155,84
219,328,434,277,195,150,321,109,241,154
220,336,166,15,101,203,489,77,49,268
221,227,483,59,256,48,323,43,491,123
222,162,332,364,333,473,26,122,477,419
223,155,493,265,386,69,83,342,90,275
224,260,219,278,184,77,200,438,394,398
225,313,149,142,204,169,416,72,445,351
226,376,423,376,373,5,55,353,233,436
227,317,133,393,131,43,11,303,281,70
228,316,459,288,367,78,154,176,229,213
229,288,479,304,234,49,432,174,344,125
230,213,351,168,481,107,86,215,46,295
231,486,492,53,140,325,150,167,243,122
232,245,352,336,29,287,185,283,333,194
233,314,439,217,380,168,240,447,497,464
234,286,70,112,380,373,476,55,332,168
235,2,166,240,201,351,381,424,267,159
236,385,81,425,328,329,13,333,201,116
237,403,331,17,191,231,358,99,441,311
238,71,78,135,125,187,94,461,285,161
239,5,287,460,136,441,68,128,165,394
240,422,57,494,408,37,136,255,433,335
241,300,466,458,384,103,22,460,66,173
242,416,200,352,434,79,409,88,198,256
243,449,94,129,130,75,438,94,282,341
244,412,10,64,476,343,460,63,227,467
245,398,24,16,289,168,340,64,199,131
246,153,34,131,452,150,270,105,105,450
247,286,139,302,399,334,425,197,405,67
248,154,76,456,157,277,47,236,46,423
249,301,375,221,360,224,46,333,470,165
250,146,274,337,298,3,429,167,11,142
251,21,58,434,214,74,442,180,19,206
252,61,297,493,103,137,42,320,138,249
253,18,467,351,315,44,34,456,52,133
254,438,42,459,59,70,154,5,379,189
255,68,269,348,213,14,85,14,27,438
256,467,489,227,489,146,186,377,484,316
257,482,328,145,382,183,212,357,68,346
258,212,56,285,191,212,237,300,340,67
259,58,332,76,185,227,113,33,323,429
260,395,47,179,490,241,464,317,184,113
261,285,289,295,39,336,399,40,421,377
262,143,235,218,413,486,249,294,424,17
263,496,70,89,143,240,247,301,102,295
264,473,317,305,165,146,445,384,419,314
265,237,195,118,449,332,75,496,454,364
266,13,441,112,201,474,293,137,263,237
267,326,353,220,403,146,376,46,205,78
268,243,199,138,432,156,412,192,349,54
269,267,11,36,160,355,247,403,196,290
270,27,204,21,357,314,272,295,79,29
271,286,283,326,70,43,64,234,206,398
272,278,167,468,133,268,204,130,440,480
273,25,477,14,150,176,67,66,85,17
274,427,230,491,132,311,431,485,60,229
275,5,249,166,96,387,65,355,313,279
276,186,46,11,156,182,41,293,52,324
277,129,294,363,380,444,168,114,478,176
278,485,412,365,452,132,74,473,342,228
279,432,280,50,228,273,217,341,260,294
280,65,330,332,269,257,308,85,271,402
281,301,138,276,308,437,459,246,356,412
282,223,194,457,57,132,34,426,456,356
283,112,93,157,329,68,277,418,227,311
284,244,397,95,354,367,275,386,295,493
285,38,332,482,429,255,148,423,233,372
286,103,192,193,176,122,149,345,186,4
287,75,172,158,456,428,83,431,290,58
288,126,427,96,344,468,267,194,100,213
289,364,198,484,362,379,182,301,7,291
290,125,110,427,433,352,159,332,327,284
291,99,249,398,326,215,147,147,164,32
292,453,210,427,226,144,140,167,3,409
293,277,30,181,207,162,18,25,300,440
294,324,459,259,37,136,151,161,229,187
295,234,392,11,43,487,88,277,131,428
296,91,188,389,245,123,153,38,31,220
297,427,190,93,23,166,336,352,460,417
298,417,273,228,363,395,390,228,349,425
299,101,242,416,400,218,434,89,121,464
300,289,300,248,132,391,159,450,155,141
301,167,217,493,171,434,288,243,74,212
302,308,105,219,481,55,380,133,101,442
303,445,37,364,478,275,158,405,452,129
304,47,274,499,315,77,102,366,341,140
305,197,179,231,133,177,122,250,44,328
306,171,37,413,51,477,471,56,473,285
307,355,446,159,395,370,473,454,238,162
308,363,389,335,317,9,201,268,315,37
309,346,194,411,473,208,375,37,259,190
310,8,173,115,317,153,475,122,322,428
311,26,460,227,139,249,268,78,45,257
312,383,81,209,206,39,332,377,151,486
313,43,448,381,386,89,416,144,487,360
314,127,155,388,61,131,91,426,50,305
315,394,455,16,179,199,437,467,156,323
316,3,341,496,258,39,361,351,376,378
317,144,172,30,258,43,119,441,344,414
318,148,41,295,94,300,93,333,400,204
319,424,448,403,425,225,18,370,375,7
320,70,119,131,258,439,49,214,139,6
321,63,479,58,112,95,367,488,197,93
322,392,211,256,138,178,124,171,201,169
323,245,409,372,456,480,3,256,207,271
324,184,383,351,224,425,251,167,359,356
325,42,431,357,436,218,426,491,104,471
326,68,28,335,251,13,201,341,213,141
327,119,118,56,125,8,422,241,147,147
328,320,103,276,442,145,57,73,261,339
329,241,81,286,319,72,256,103,61,11
330,430,272,205,239,386,265,230,192,43
331,227,415,264,486,30,466,155,29,453
332,252,170,147,207,20,224,348,156,185
333,494,386,412,4,225,442,154,355,98
334,483,139,166,139,200,136,197,323,457
335,430,246,121,6,170,248,145,234,115
336,337,357,264,209,251,405,330,303,383
337,197,225,344,14,494,460,273,66,46
338,126,137,368,278,315,297,60,497,421
339,391,32,453,377,183,297,91,480,477
340,146,324,396,465,80,137,211,300,102
341,194,454,136,128,284,97,215,54,32
342,295,5,461,221,405,112,208,170,320
343,345,480,79,37,488,414,417,388,247
344,395,271,80,30,194,5,25,333,80
345,25,133,218,434,385,66,434,88,364
346,219,56,234,320,43,368,431,240,138
347,310,181,198,235,408,27,214,338,169
348,188,378,151,459,113,397,158,112,240
349,282,71,325,122,273,131,2,344,411
350,286,17,464,139,34,455,438,141,458
351,354,73,473,21,486,396,9,7,238
352,136,365,172,142,250,192,495,293,69
353,281,330,247,450,477,409,158,13,19
354,362,91,293,343,378,487,352,418,346
355,485,230,372,18,134,349,322,88,134
356,298,439,289,344,327,477,311,438,322
357,282,339,376,278,189,413,405,354,367
358,97,413,33,134,71,442,477,200,73
359,265,453,260,368,10,254,394,343,159
360,163,467,7,65,345,272,47,276,403
361,26,64,333,291,118,432,243,112,381
362,312,198,25,378,381,461,323,122,19
363,223,221,40,304,379,369,312,212,322
364,438,130,417,447,199,489,387,478,236
365,311,113,167,15,481,327,74,206,403
366,92,323,17,40,453,10,485,329,494
367,121,427,42,206,218,190,390,184,7
368,286,466,168,153,346,313,117,305,465
369,257,102,350,156,338,78,244,88,314
370,451,451,288,373,326,239,182,315,65
371,42,121,196,83,260,382,63,480,55
372,444,300,324,342,253,134,488,78,133
373,474,477,300,333,266,168,6,289,259
374,227,294,275,395,61,274,152,317,321
375,476,474,114,211,482,210,33,383,54
376,488,114,238,104,405,336,237,87,322
377,330,385,424,314,376,226,180,221,11
378,57,380,348,140,452,55,349,415,85
379,483,494,451,456,409,159,289,460,112
380,186,134,351,144,178,382,457,472,429
381,360,395,459,16,92,136,429,103,69
382,262,95,351,167,446,145,170,59,267
383,42,34,96,113,141,237,264,333,66
384,451,337,229,276,121,94,229,220,310
385,223,253,274,488,163,94,242,287,341
386,121,10,192,380,397,6,5,416,155
387,430,435,462,197,429,278,458,367,229
388,312,202,348,248,9,158,280,34,246
389,239,55,384,279,171,97,362,410,116
390,185,338,457,72,35,406,497,310,488
391,394,427,491,348,373,49,458,205,59
392,264,402,450,407,234,454,463,124,133
393,400,405,158,230,275,32,495,346,324
394,406,410,211,489,193,172,203,126,175
395,115,208,266,427,267,11,314,305,145
396,488,435,367,234,64,459,340,239,231
397,457,441,407,246,25,255,160,162,430
398,80,231,239,121,215,5,298,185,60
399,362,486,476,275,436,63,101,230,448
400,471,473,322,491,187,424,370,120,75
401,80,240,154,219,448,474,127,444,218
402,462,193,255,338,262,227,70,45,477
403,135,234,393,277,239,266,219,390,164
404,41,334,278,337,132,437,19,331,348
405,235,194,499,448,343,447,142,284,107
406,255,479,204,19,441,109,176,138,186
407,309,4,309,122,240,337,487,268,369
408,452,92,383,148,32,408,104,145,233
409,334,485,313,72,271,152,142,429,307
410,167,195,71,312,412,211,170,478,325
411,170,215,109,455,218,139,174,215,413
412,170,123,369,265,333,234,45,242,350
413,431,26,459,109,176,54,261,91,458
414,16,170,468,81,129,296,201,327,316
415,16,478,96,85,417,299,197,207,375
416,429,403,247,62,174,173,106,487,276
417,192,36,335,320,214,306,264,207,410
418,98,495,133,497,60,371,56,421,98
419,464,126,231,67,28,313,169,69,136
420,170,30,300,84,331,337,398,400,399
421,15,61,440,412,45,388,342,22,170
422,253,468,423,26,317,78,149,402,236
423,448,305,384,14,200,209,32,487,11
424,2,37,294,115,125,124,13,151,435
425,309,164,159,251,242,79,434,106,287
426,360,400,200,419,313,242,64,311,273
427,380,345,355,437,114,286,208,227,196
428,197,196,230,395,134,25,301,22,340
429,84,96,384,478,439,18,123,66,35
430,229,474,198,220,331,127,28,441,72
431,385,257,433,181,92,135,396,453,75
432,64,474,137,107,353,390,224,316,361
433,315,313,263,61,254,363,36,77,113
434,236,221,109,434,165,95,156,112,416
435,184,385,29,396,107,382,345,165,395
436,284,334,205,52,289,240,214,306,420
437,239,461,487,285,181,405,161,244,268
438,229,435,170,82,231,249,216,284,166
439,164,98,78,119,112,151,122,199,229
440,14,261,432,360,124,395,37,13,236
441,426,19,363,195,328,8,309,384,34
442,130,404,167,148,172,155,177,459,322
443,109,308,313,419,286,168,283,320,291
444,52,427,212,481,425,87,193,186,328
445,322,92,244,459,237,22,335,211,29
446,59,489,299,229,373,273,471,419,196
447,253,81,248,69,1,263,207,146,457
448,58,87,227,237,459,242,133,311,271
449,345,411,119,481,67,424,191,127,317
450,302,155,99,357,267,100,323,91,401
451,19,121,465,389,293,214,428,178,400
452,46,22,250,178,403,329,191,158,26
453,245,249,495,104,160,76,118,288,429
454,80,251,133,481,267,107,486,14,99
455,327,400,84,438,122,481,165,328,479
456,293,316,165,310,129,25,177,288,423
457,308,120,266,97,85,365,354,499,132
458,474,225,25,371,22,119,499,170,444
459,76,382,58,411,389,430,410,400,366
460,86,198,101,28,203,105,99,245,137
461,255,305,53,174,140,86,458,260,156
462,311,184,131,83,179,181,312,129,395
463,276,175,359,462,464,85,470,3,172
464,453,475,392,433,323,39,378,234,254
465,455,496,20,78,305,142,487,409,16
466,71,462,291,99,217,60,97,107,465
467,86,99,80,211,330,361,284,208,369
468,153,225,339,378,333,470,56,255,186
469,45,1,68,302,13,328,47,12,465
470,158,214,480,30,146,328,224,413,189
471,342,459,47,235,334,415,191,115,48
472,316,172,366,228,12,18,60,378,361
473,46,392,201,421,70,357,66,299,59
474,405,129,98,58,14,225,385,226,116
475,74,213,153,101,149,154,187,489,264
476,156,465,31,354,220,213,200,57,14
477,367,420,163,27,80,456,153,47,137
