,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,72,361,225,112,467,396,209,145,213
1,271,340,409,462,188,405,194,162,119
2,197,123,272,48,493,205,78,413,484
3,492,54,8,475,413,198,77,304,167
4,379,334,488,269,263,168,346,420,210
5,112,339,348,334,455,329,179,21,191
6,203,116,317,434,68,300,342,1,350
7,342,116,38,166,28,196,299,5,39
8,194,42,284,368,301,433,175,410,108
9,88,305,381,16,270,259,474,144,446
10,410,359,268,380,246,237,241,415,328
11,435,433,161,263,228,359,456,32,30
12,119,171,436,62,390,188,307,38,263
13,450,351,189,342,499,267,24,229,201
14,347,186,331,459,478,451,399,324,484
15,189,145,335,134,378,377,468,59,264
16,348,410,398,242,153,11,53,215,77
17,346,172,40,360,233,352,10,464,430
18,234,26,330,209,260,416,492,382,416
19,209,2,140,181,187,274,368,434,45
20,290,452,54,158,254,192,68,354,480
21,418,217,370,334,164,338,92,453,80
22,134,471,58,433,292,179,274,449,492
23,394,73,237,211,194,194,108,401,257
24,287,467,204,2,431,173,487,467,390
25,319,93,220,420,72,174,494,237,260
26,252,210,391,417,333,183,378,495,186
27,379,396,136,213,334,117,459,60,99
28,203,219,299,76,320,360,372,43,461
29,406,476,113,495,276,9,363,42,312
30,331,26,167,76,391,114,126,272,389
31,53,458,370,14,23,137,52,126,282
32,136,20,493,463,247,189,448,402,212
33,39,163,353,207,102,163,404,4,369
34,87,343,112,454,270,76,465,22,49
35,187,264,119,227,129,270,469,355,169
36,399,153,218,254,180,431,55,287,208
37,391,182,433,324,138,296,209,45,70
38,5,107,354,61,340,111,265,464,247
39,157,71,181,487,133,63,26,122,454
40,166,377,447,81,142,493,186,317,323
41,296,21,498,132,147,236,296,184,246
42,151,431,269,196,190,108,445,324,338
43,142,272,339,253,23,326,489,78,130
44,247,339,104,391,406,95,188,96,389
45,113,59,230,253,440,321,398,40,215
46,132,130,247,111,489,9,299,105,89
47,77,140,265,214,311,181,300,413,133
48,43,479,223,104,106,238,353,78,449
49,390,154,335,273,476,308,354,379,403
50,417,135,382,364,130,355,421,236,53
51,343,37,209,150,97,104,481,459,180
52,458,348,465,52,328,340,64,75,230
53,186,460,68,110,18,298,415,31,373
54,241,17,442,196,321,266,442,392,382
55,427,309,141,184,31,421,44,392,92
56,189,446,464,284,299,464,290,161,394
57,268,243,329,273,127,188,134,305,182
58,243,344,264,42,186,415,354,71,476
59,261,144,10,108,184,106,222,246,478
60,170,177,444,72,56,92,462,275,9
61,65,76,67,286,395,424,118,38,293
62,196,52,417,206,83,423,404,34,490
63,462,347,277,89,170,2,423,174,375
64,439,273,144,132,434,401,282,119,59
65,279,15,199,460,85,231,55,228,287
66,213,307,303,79,466,436,139,125,304
67,450,230,278,431,133,308,21,392,476
