,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,197,258,123,348,40,260,274,57,214
1,87,497,495,476,452,445,16,325,291
2,120,352,211,468,125,155,107,285,129
3,443,311,283,381,217,378,274,434,277
4,64,322,431,51,224,396,354,220,345
5,497,231,293,223,224,166,265,381,57
6,426,92,21,430,302,440,414,190,65
7,220,128,149,380,439,485,365,468,465
8,185,348,398,421,494,139,38,270,344
9,341,432,317,341,295,204,238,209,430
10,343,443,368,318,29,41,499,129,209
11,339,478,282,300,465,118,183,32,278
12,435,398,433,9,50,254,222,473,176
13,156,449,138,207,348,121,486,230,400
14,466,423,320,252,153,215,178,41,292
15,43,162,38,26,343,102,150,273,233
16,246,210,491,303,339,165,427,96,308
17,112,470,327,327,99,340,458,188,362
18,160,364,140,50,342,420,41,332,267
19,99,4,58,1,189,451,182,374,87
20,312,471,498,85,405,116,340,275,114
21,438,202,123,469,305,465,292,301,269
22,246,320,379,254,243,179,374,63,190
23,332,476,359,450,499,65,360,328,368
24,117,408,328,268,83,361,270,68,153
25,491,111,46,195,25,315,19,445,88
26,482,160,136,82,137,194,308,256,162
27,486,282,154,484,101,371,61,264,235
28,202,488,3,85,304,31,144,338,393
29,83,353,180,371,345,350,232,315,354
30,231,421,466,23,266,143,455,128,159
31,17,44,341,8,210,233,121,345,457
32,245,428,465,279,178,152,13,166,182
33,190,263,375,387,56,366,387,178,99
34,371,18,119,296,208,186,200,134,190
35,108,309,391,456,496,356,133,150,362
36,92,220,274,162,347,26,298,101,250
37,29,200,373,224,78,291,1,76,473
38,139,186,159,285,176,232,106,459,214
39,135,426,376,45,296,456,347,332,44
40,175,415,489,177,32,80,464,332,433
41,74,479,33,276,487,24,71,168,280
42,203,161,211,461,304,280,143,96,81
43,368,22,400,480,396,111,95,347,309
44,110,468,378,455,133,74,76,172,141
45,40,440,252,387,325,61,175,13,430
46,219,69,146,47,471,381,211,293,323
47,28,280,332,82,433,338,399,407,460
48,230,16,240,52,3,285,243,128,341
49,234,424,416,412,49,354,421,490,203
50,475,486,71,276,174,39,119,472,238
51,369,412,435,248,456,282,461,233,341
52,357,302,210,413,287,196,52,446,422
53,294,164,115,294,44,288,14,102,232
54,309,321,479,317,87,20,329,406,406
55,227,59,383,9,447,427,138,275,284
56,203,154,225,188,452,472,345,26,343
57,146,429,271,409,417,245,238,470,307
58,286,68,442,104,250,169,15,336,483
59,416,228,103,96,92,294,191,296,88
60,470,390,73,145,269,52,232,31,178
61,125,153,298,392,257,496,59,285,6
62,436,411,429,88,135,318,426,129,260
63,54,347,129,43,58,213,437,251,152
64,138,374,385,445,132,141,306,460,12
65,180,252,68,412,259,299,454,44,178
66,98,415,370,267,85,22,150,376,440
67,312,297,324,173,134,167,304,345,3
68,455,463,398,432,12,229,197,187,58
69,476,200,395,174,366,434,321,341,204
70,128,12,454,490,470,267,450,492,455
71,200,30,446,131,437,31,93,498,177
72,196,214,216,445,22,490,185,110,354
73,420,368,386,314,57,211,86,81,246
74,48,67,98,67,2,113,392,23,134
75,356,457,140,440,114,491,33,401,338
76,49,218,486,455,493,440,349,325,373
77,205,69,477,192,359,190,9,348,84
78,50,78,408,328,414,349,138,415,357
79,228,89,111,316,303,88,17,392,55
80,423,387,277,242,63,218,243,177,180
81,370,154,317,267,7,306,304,445,392
82,129,191,141,325,463,394,286,430,71
83,421,245,107,436,398,185,33,234,404
84,115,221,55,494,7,362,232,250,476
85,58,82,181,205,176,357,312,449,186
86,232,108,208,6,420,168,316,131,101
