,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,361,384,415,431,101,308,279,360,487
1,219,443,158,49,11,27,376,162,178
2,401,137,398,176,45,309,195,357,187
3,261,362,18,327,202,277,255,474,82
4,476,442,114,253,198,120,407,104,132
5,34,329,341,324,165,37,73,59,133
6,428,234,365,190,330,218,419,469,108
7,176,143,329,409,163,463,453,116,390
8,223,406,105,420,224,283,343,355,75
9,245,211,255,384,331,218,70,96,91
10,232,23,48,458,169,72,123,285,162
11,384,70,240,462,317,188,154,130,92
12,194,216,448,336,61,273,305,473,462
13,315,415,450,213,29,305,89,283,81
14,364,122,347,69,363,384,7,55,220
15,484,335,256,19,254,21,204,57,419
16,1,249,103,98,3,369,310,107,113
17,499,85,350,311,29,34,310,176,438
18,21,465,417,274,5,189,205,208,61
19,345,156,346,484,163,419,293,141,225
20,81,105,234,485,262,365,421,337,482
21,211,476,48,376,286,62,121,315,411
22,235,481,275,79,132,338,459,493,111
23,170,330,456,498,437,242,249,32,369
24,280,347,179,458,461,410,241,104,246
25,30,105,310,470,332,230,346,171,159
26,278,142,201,378,80,181,198,331,78
27,182,82,258,288,187,273,6,340,164
28,447,141,447,121,260,201,91,411,52
29,484,5,272,113,177,417,54,397,295
30,418,210,325,311,136,340,164,293,58
31,209,18,139,205,486,410,235,116,400
32,163,423,212,225,413,86,384,325,437
33,157,239,125,52,239,114,483,457,232
34,148,11,52,205,282,432,299,195,48
35,469,171,458,288,284,282,170,257,180
36,38,185,68,409,217,319,387,481,152
37,261,244,44,304,134,362,277,490,470
38,451,439,227,352,263,397,301,378,175
39,301,84,178,247,221,412,22,417,465
40,153,316,386,304,467,385,247,1,198
41,66,191,118,214,78,101,141,450,180
42,490,297,71,466,274,168,91,335,451
43,38,478,49,266,382,372,439,45,397
44,46,251,255,81,163,332,482,322,295
45,499,476,245,31,476,382,445,279,152
46,305,46,153,80,496,32,115,129,172
47,341,109,365,166,439,413,236,471,103
48,354,161,274,371,404,273,190,299,240
49,89,372,364,468,280,231,189,264,364
50,98,293,213,119,63,222,280,197,188
51,236,163,364,389,436,77,35,120,71
52,132,111,240,457,289,294,312,151,55
53,331,281,289,488,424,201,160,404,173
54,374,438,150,341,3,495,4,309,93
55,495,305,69,429,236,307,159,340,163
56,432,163,225,236,311,411,475,31,423
57,144,412,15,117,134,418,383,72,457
58,4,96,92,246,296,4,6,473,474
59,88,331,300,4,7,287,253,236,366
60,111,485,121,342,412,87,67,350,482
61,95,425,133,261,397,55,100,147,230
62,143,376,6,189,253,205,118,379,491
63,129,138,62,148,95,240,220,9,131
64,488,291,287,147,375,136,272,173,351
65,57,304,371,114,428,391,413,48,406
66,186,86,338,445,202,274,155,496,178
67,404,317,109,331,243,362,149,145,339
68,353,68,114,80,210,392,433,59,95
69,338,381,290,467,282,239,183,497,303
70,192,120,329,442,134,328,157,364,430
71,27,313,285,138,164,136,247,230,416
72,226,443,12,22,34,135,257,262,35
73,316,138,383,108,264,426,384,489,309
74,193,326,109,30,168,215,255,168,198
75,250,126,321,14,127,5,101,104,110
76,116,54,295,178,1,382,316,40,392
77,29,137,79,112,171,18,280,298,179
78,76,87,64,371,82,449,489,349,62
79,379,133,93,436,81,243,428,157,55
80,97,164,239,99,188,184,361,348,348
81,254,447,220,208,87,29,284,432,173
82,200,497,356,321,192,12,299,476,279
83,384,194,65,165,250,421,483,188,190
84,168,339,310,52,432,5,440,105,67
85,368,167,151,323,321,312,14,292,4
86,473,234,31,432,492,217,271,348,136
87,387,234,177,440,429,193,485,90,150
88,498,459,378,183,147,155,455,30,60
89,228,83,301,133,414,430,461,462,178
90,39,167,101,59,387,134,161,295,357
91,418,450,275,324,270,469,55,485,32
92,288,82,223,259,321,291,486,335,455
93,334,71,215,110,214,20,434,457,359
94,338,473,147,92,413,412,51,116,187
95,201,141,162,151,29,462,20,331,340
96,379,407,113,486,477,398,243,455,44
97,340,220,439,51,446,330,446,305,438
98,348,230,124,440,82,247,313,302,47
99,421,84,274,74,461,121,399,481,463
100,473,206,181,272,111,34,31,153,467
101,102,320,1,132,336,484,423,54,377
102,273,290,180,377,114,222,412,278,316
103,439,38,440,229,450,406,459,72,395
104,481,280,347,248,110,404,196,5,382
105,108,143,441,83,30,126,100,326,9
106,124,132,449,1,82,326,373,204,258
107,251,304,109,139,404,476,219,458,97
108,354,470,441,343,204,278,334,479,242
109,7,188,402,59,17,477,101,343,301
110,330,441,332,255,468,52,97,175,490
111,404,57,215,325,226,15,426,439,89
112,341,416,115,76,485,382,483,80,329
113,267,465,286,328,62,434,133,367,439
114,302,1,260,326,363,376,476,479,68
115,493,205,386,255,193,152,309,140,176
116,34,425,372,235,182,295,400,271,473
117,236,455,461,406,216,104,241,349,187
118,467,247,244,451,227,71,181,39,335
119,208,20,86,57,462,468,228,35,309
120,401,480,119,256,254,134,489,283,112
121,149,415,188,254,332,228,295,196,157
122,430,170,71,421,212,112,228,119,323
123,7,161,460,293,410,271,205,317,180
124,67,354,496,199,437,258,243,127,189
125,17,480,449,16,134,190,179,233,122
126,317,279,355,138,111,67,199,156,7
127,121,363,85,351,121,199,416,20,266
128,275,267,15,449,124,9,415,26,171
129,484,17,392,497,232,232,29,91,102
130,182,458,472,17,403,340,159,147,390
131,215,114,225,5,254,327,11,413,100
132,430,381,12,72,418,408,412,131,332
133,38,306,46,391,188,56,468,27,99
134,481,48,360,276,150,259,369,47,274
135,94,414,151,401,167,261,267,315,296
136,188,233,392,38,323,180,456,269,141
137,129,253,374,397,179,352,395,362,439
138,204,182,41,220,47,481,243,282,158
139,68,217,244,496,69,200,171,436,468
140,358,65,287,351,398,264,275,454,163
141,23,146,188,219,456,443,237,348,433
142,469,195,163,219,342,443,205,480,261
143,343,234,187,207,240,25,439,391,117
144,90,308,79,295,490,455,476,165,7
145,188,493,498,227,171,448,150,462,423
146,129,144,367,435,379,423,421,78,53
147,302,59,78,9,115,449,65,383,217
148,205,448,414,484,443,121,477,272,226
149,253,75,282,393,61,370,20,480,407
150,5,282,58,211,242,120,96,216,66
151,39,395,436,204,108,409,335,236,35
152,276,287,443,129,125,40,276,40,204
153,376,103,278,429,143,190,216,47,257
154,246,257,390,440,454,98,280,440,111
155,287,472,221,76,40,176,5,21,430
156,321,122,495,43,145,245,179,354,90
157,330,386,365,22,342,272,419,442,210
158,300,144,280,190,198,110,493,71,481
159,118,45,229,184,461,281,280,67,405
160,337,426,55,130,389,491,72,126,336
161,499,423,302,82,284,331,64,194,129
162,344,65,481,483,38,23,426,129,314
163,420,252,175,235,129,474,204,415,137
164,486,217,315,242,93,80,385,290,312
165,117,169,472,470,186,389,43,308,428
166,421,151,45,107,141,285,326,7,434
167,22,364,409,204,76,278,108,6,316
168,163,348,252,323,404,293,83,394,362
169,92,386,207,366,177,378,498,435,294
170,10,329,97,433,96,236,150,256,21
171,204,390,81,38,496,189,100,342,363
172,428,320,325,376,382,483,443,314,300
173,37,197,93,20,140,116,281,212,29
174,246,261,3,165,258,45,337,46,173
175,77,462,428,414,114,418,280,100,432
176,206,77,364,281,202,422,215,244,382
177,452,395,422,243,406,266,96,432,297
178,89,136,166,464,201,396,486,454,303
179,176,172,53,288,478,212,326,115,309
180,450,341,301,196,15,109,79,170,237
181,164,354,197,241,344,382,288,228,192
182,350,423,414,407,391,92,346,178,394
183,10,232,101,61,91,129,318,262,118
184,9,459,267,259,188,405,303,259,499
185,70,429,244,335,169,65,479,1,336
186,136,52,326,238,276,490,159,137,137
