,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,278,75,219,30,40,389,49,276,172
1,168,120,95,268,360,433,441,302,146
2,31,479,367,59,213,318,488,53,187
3,130,6,280,281,349,301,260,384,441
4,180,104,229,221,313,291,251,315,17
5,396,490,294,101,194,40,419,285,73
6,412,386,259,40,200,231,170,194,123
7,136,421,208,450,294,234,384,459,263
8,401,447,379,468,389,318,262,473,362
9,440,382,444,219,214,232,179,147,401
10,343,254,135,286,291,231,372,438,359
11,179,46,473,416,496,67,407,156,232
12,204,228,274,316,19,452,37,280,457
13,273,459,249,287,196,228,280,370,125
14,349,352,436,181,483,174,379,96,40
15,491,64,148,332,352,28,374,146,405
16,78,100,245,479,360,353,391,146,102
17,84,170,231,8,182,486,300,335,307
18,228,249,289,199,370,398,132,379,459
19,354,73,352,374,384,282,485,110,55
20,350,59,465,220,2,306,185,143,77
21,106,149,167,90,448,494,441,427,387
22,249,381,171,414,135,497,322,429,147
23,264,357,368,346,79,273,14,259,10
24,163,126,311,384,440,166,427,144,294
25,179,283,474,252,210,447,48,90,434
26,462,85,260,238,28,176,23,245,262
27,77,328,265,29,67,369,404,5,170
28,167,439,224,312,435,348,248,439,106
29,233,490,481,411,399,76,413,461,88
30,16,418,77,306,64,243,260,417,442
31,55,159,257,399,59,189,293,247,153
32,289,265,360,326,152,27,333,70,69
33,395,389,299,292,148,6,273,27,53
34,278,85,206,138,202,485,453,326,375
35,428,118,180,10,48,177,161,435,238
36,448,455,95,43,179,118,185,450,235
37,125,58,46,283,9,443,139,346,157
38,426,120,284,328,469,256,1,83,226
39,89,445,37,451,32,94,287,216,283
40,71,54,101,150,210,251,166,143,420
41,40,76,436,70,128,208,427,371,157
42,440,360,80,1,46,321,371,354,190
43,314,54,55,90,228,180,75,327,129
44,300,373,95,384,116,447,23,201,35
45,424,428,110,293,408,89,451,127,120
46,216,58,39,251,489,463,299,202,134
47,317,285,371,120,417,59,377,275,388
48,425,112,346,476,343,369,132,208,400
49,17,20,248,121,186,189,233,34,356
50,405,431,180,32,58,106,175,335,368
51,73,79,63,217,223,146,420,174,231
52,438,113,365,225,91,56,495,149,131
53,494,176,89,279,387,109,137,370,346
54,337,144,47,206,416,369,398,110,457
55,136,96,202,400,304,284,134,349,378
56,453,219,416,329,474,369,445,8,466
57,97,222,322,89,146,476,74,253,351
58,373,49,100,211,62,33,188,290,167
59,357,479,51,470,168,70,352,46,88
60,249,26,348,467,4,350,382,499,351
61,27,401,90,366,198,362,309,146,25
62,337,371,296,451,22,461,55,425,497
63,310,321,234,135,366,414,191,445,221
64,208,9,73,259,99,366,292,201,172
65,350,303,316,487,295,332,148,272,310
66,165,113,156,112,283,218,318,320,484
67,173,273,309,300,144,203,11,409,15
68,499,78,357,324,20,259,254,205,82
69,110,41,402,364,484,72,313,169,30
70,232,326,434,302,224,450,428,200,45
71,88,492,365,382,417,103,142,400,408
72,69,76,224,299,169,278,78,160,100
73,353,14,220,491,349,198,191,94,452
74,91,442,42,53,132,320,408,19,371
75,450,383,472,280,246,471,445,33,237
76,256,118,124,284,318,442,137,113,340
77,440,396,414,156,394,404,115,457,212
78,367,285,78,357,395,302,452,45,115
79,329,203,130,49,143,462,354,406,166
80,43,19,52,362,488,251,385,492,17
81,414,257,422,393,212,451,157,14,58
82,179,161,365,359,332,145,350,168,343
83,454,484,342,394,251,96,444,156,329
84,118,61,348,355,390,417,492,250,235
85,215,416,351,425,282,473,67,181,57
86,477,162,365,199,179,129,42,149,73
87,59,30,405,175,59,176,384,318,126
88,103,441,263,342,424,305,222,388,432
89,361,468,181,87,292,40,127,384,149
90,213,174,339,49,308,251,379,176,355
91,53,296,143,387,268,276,460,211,65
92,250,193,284,194,305,140,237,204,141
93,330,308,76,40,4,333,147,89,229
94,461,319,247,441,67,27,239,192,466
95,190,323,392,42,54,147,464,278,308
96,384,220,281,178,60,349,380,238,86
97,479,173,76,478,261,367,395,327,253
98,459,274,376,98,61,216,469,65,119
99,397,266,469,75,407,106,313,417,113
100,376,196,244,340,313,262,472,256,11
101,372,306,442,39,459,138,18,70,496
102,311,450,410,449,50,224,157,125,211
103,394,130,458,97,264,24,453,22,117
104,93,405,197,368,327,190,383,26,473
105,318,499,7,69,238,478,356,111,414
106,430,483,193,375,47,372,300,237,192
107,110,22,233,99,117,302,326,141,24
108,413,62,298,226,407,54,124,163,239
109,176,37,224,323,79,119,433,5,87
110,205,195,283,285,113,276,277,179,418
111,400,153,1,119,354,260,231,177,259
112,372,357,367,56,340,195,188,63,317
113,223,58,36,177,439,227,149,396,383
114,30,257,370,473,17,360,381,85,25
115,251,16,170,449,428,126,134,351,217
116,160,215,243,330,481,135,330,19,95
117,331,36,263,100,193,475,368,30,123
118,418,69,109,434,129,425,325,102,109
119,423,126,37,307,380,328,484,164,214
120,113,65,152,30,302,304,312,495,346
121,331,180,460,416,299,175,177,250,215
122,332,252,77,41,445,105,240,462,439
123,194,187,258,395,274,290,388,386,41
124,458,50,407,211,103,8,463,355,378
125,441,113,218,90,66,492,105,329,399
126,181,11,321,134,330,337,341,11,71
127,419,417,355,83,175,124,176,462,160
128,284,481,366,33,175,112,333,363,128
129,170,45,121,477,284,406,29,123,378
130,78,85,319,134,499,15,354,410,70
131,328,4,91,255,443,47,244,166,291
132,254,388,159,333,457,462,95,181,234
133,231,481,159,162,125,475,345,326,302
134,185,24,343,36,207,455,127,242,23
135,24,297,18,132,369,332,81,254,322
136,459,203,493,393,97,16,168,414,325
137,474,416,365,488,487,59,121,465,94
138,146,393,61,235,27,9,226,328,106
139,194,149,10,11,253,187,118,375,384
140,18,485,71,89,201,273,373,480,351
141,85,457,211,396,22,117,344,356,454
142,280,182,402,309,437,70,392,318,10
143,180,447,61,264,313,57,407,166,243
144,363,245,193,20,343,293,274,209,422
145,275,107,405,15,121,412,12,288,164
146,13,315,416,15,497,184,315,476,258
147,48,209,3,328,321,95,354,496,171
148,191,17,252,417,243,464,56,229,498
149,162,6,450,299,303,354,132,170,186
150,222,85,445,265,4,377,341,6,226
151,2,182,162,75,142,200,275,174,433
152,469,401,45,417,466,424,470,16,122
153,366,26,65,367,243,151,103,374,62
154,73,78,180,108,356,217,145,209,477
155,330,189,256,256,130,5,260,257,11
156,282,413,59,366,191,213,437,448,215
157,360,310,193,377,56,185,5,199,172
158,117,273,192,134,244,175,138,205,139
159,455,289,202,115,50,492,347,9,286
160,183,145,221,152,28,403,417,370,173
161,461,174,498,191,232,158,375,440,291
162,261,224,336,87,51,332,108,415,323
163,305,355,485,108,166,392,9,431,317
164,386,466,346,48,198,392,380,262,492
165,383,145,206,423,194,261,237,56,296
166,284,446,229,195,43,236,12,226,471
167,329,209,219,35,435,313,112,2,296
168,219,54,415,232,139,89,76,193,91
169,254,481,95,263,498,120,72,299,403
170,496,112,384,459,116,358,375,163,88
171,464,216,357,100,178,24,370,176,22
172,32,63,331,58,202,104,33,144,220
173,425,21,394,277,353,225,15,396,424
174,256,128,186,488,41,261,140,374,18
175,14,448,312,41,53,420,484,344,158
176,47,151,81,329,180,300,214,192,129
177,20,70,73,348,282,407,379,450,207
178,337,161,293,58,191,54,42,407,350
179,488,415,478,293,413,451,458,412,474
180,243,39,372,234,10,446,57,461,161
181,492,311,461,45,300,399,204,288,316
182,364,275,403,242,181,293,340,319,441
183,66,184,32,266,27,152,246,110,70
184,75,282,141,252,298,422,93,397,52
185,461,351,152,97,148,117,91,478,302
186,348,418,371,444,214,445,365,350,362
187,433,245,321,198,385,422,379,64,210
188,183,229,47,99,450,208,168,125,360
189,257,400,268,269,435,140,159,1,286
190,137,468,248,436,248,306,41,396,143
191,212,141,225,114,151,339,338,268,206
192,214,438,304,430,149,9,299,52,77
193,105,435,320,489,78,219,448,130,309
194,63,438,36,375,219,396,35,247,471
195,452,45,78,45,113,216,117,172,340
196,469,157,28,278,295,302,106,330,475
197,131,414,324,361,476,374,34,125,375
198,418,240,423,173,175,173,485,97,337
199,315,79,415,274,113,411,217,334,97
200,183,229,469,142,80,375,159,398,309
201,127,148,112,485,8,164,106,253,369
202,341,464,351,18,174,143,237,371,278
203,166,66,43,491,273,385,78,171,246
204,470,142,317,192,102,483,245,335,29
205,224,424,143,29,74,65,135,320,162
206,290,459,285,389,178,358,284,471,384
207,68,499,398,338,121,415,314,333,75
208,306,464,265,384,49,477,362,96,155
209,300,407,195,74,482,58,249,91,229
210,291,420,12,494,165,164,393,323,269
211,460,430,364,130,252,325,269,468,175
212,308,266,415,114,323,118,318,128,445
213,213,375,448,397,187,249,38,204,329
214,438,360,424,40,114,165,399,58,141
215,375,283,447,105,101,54,192,202,245
216,23,436,73,216,266,432,337,351,440
217,451,268,212,228,427,427,135,431,431
218,130,137,134,205,53,285,107,424,272
219,88,266,98,205,495,362,151,93,150
220,427,451,310,140,146,460,28,67,423
221,84,74,348,61,437,421,469,181,164
222,152,334,146,114,227,30,85,184,492
223,322,488,28,28,56,138,137,287,269
224,487,248,393,332,285,339,253,486,157
225,423,285,415,499,70,76,308,48,325
226,409,444,314,328,371,8,343,411,385
227,45,26,457,217,348,12,80,325,345
228,132,134,429,273,33,10,376,284,158
229,396,218,300,420,197,245,255,448,250
230,363,307,298,413,181,184,121,346,219
231,107,22,194,126,394,69,253,459,479
232,158,73,361,358,76,121,195,259,315
233,256,232,63,121,139,271,439,291,430
234,465,410,387,106,56,487,275,21,348
235,489,151,206,175,221,362,139,486,201
236,259,286,153,61,337,468,368,336,463
237,471,424,302,485,96,90,25,292,397
238,77,83,489,50,97,485,314,139,216
239,264,55,253,443,208,65,134,299,337
240,170,259,216,195,270,245,131,451,67
241,120,148,123,27,90,148,137,48,288
242,222,163,330,159,10,182,410,28,179
243,293,325,459,443,242,196,336,434,443
244,371,268,218,285,190,187,70,83,358
245,97,98,294,437,133,41,168,397,217
246,467,124,166,86,352,287,395,154,429
247,191,452,135,194,176,452,41,227,334
248,486,38,464,230,175,1,120,312,22
249,342,162,10,377,270,361,381,113,23
250,412,39,250,301,47,400,414,200,495
251,298,64,346,408,383,343,106,217,290
252,461,167,215,174,177,152,339,360,60
253,334,24,47,198,467,24,237,289,421
254,212,117,191,139,50,323,238,267,404
255,480,347,170,440,444,354,357,166,78
256,222,222,269,284,488,376,231,177,67
257,371,461,316,398,15,79,85,489,271
258,30,243,64,233,170,4,445,72,270
259,85,473,431,441,494,443,253,493,499
260,115,105,372,408,163,385,305,43,108
261,185,174,310,98,163,476,303,145,189
262,352,314,426,485,351,316,149,236,480
