,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,359,175,150,101,477,157,382,272,380
1,20,86,395,306,94,488,136,150,242
2,384,211,28,51,291,171,238,54,178
3,128,165,469,482,345,484,74,3,274
4,394,292,248,316,157,354,294,449,429
5,27,282,485,243,60,343,161,300,366
6,134,153,157,420,437,144,75,226,287
7,304,185,101,237,416,492,14,239,152
8,372,129,367,10,329,16,402,97,172
9,391,108,138,325,378,195,223,365,125
10,216,269,71,131,22,423,45,44,438
11,27,171,184,444,403,385,361,160,206
12,205,19,227,63,258,385,390,338,298
13,498,64,156,54,280,225,116,376,275
14,185,402,224,369,343,77,270,228,15
15,169,303,181,11,122,201,196,92,328
16,115,94,130,131,359,265,449,29,15
17,321,290,199,50,498,457,42,259,377
18,375,400,186,441,262,491,195,248,446
19,154,438,73,341,129,5,102,451,271
20,79,131,477,123,23,132,338,279,422
21,126,283,469,54,54,161,115,444,185
22,272,389,423,238,416,446,101,228,56
23,299,315,395,379,157,394,325,76,372
24,474,204,466,122,66,260,488,350,167
25,83,483,292,335,23,85,418,137,122
26,333,286,295,277,448,410,309,330,207
27,326,355,490,438,160,24,486,298,165
28,353,207,285,84,154,463,330,249,141
29,256,349,38,271,48,347,139,483,349
30,297,332,281,245,324,10,63,449,379
31,318,318,316,170,204,82,124,476,482
32,234,4,465,8,78,136,327,95,252
33,271,409,76,464,204,29,314,470,395
34,11,186,393,100,490,414,362,459,163
35,329,466,180,206,90,278,378,202,216
36,457,427,221,429,320,50,298,100,330
37,182,63,63,86,142,65,420,158,418
38,67,82,426,351,105,321,311,269,127
39,140,493,116,84,292,250,456,230,493
40,196,125,395,279,114,78,286,59,440
41,17,157,333,105,62,165,96,451,61
42,296,150,288,305,341,348,399,461,293
43,415,481,458,398,194,235,373,92,294
44,276,336,443,129,218,473,368,182,172
45,237,295,498,169,125,98,460,159,332
46,338,255,362,40,230,324,367,416,380
47,160,11,197,214,232,283,445,415,319
48,365,445,255,33,354,363,417,175,58
49,58,53,318,159,72,485,284,457,368
50,354,53,490,300,434,398,427,471,154
51,130,339,325,171,455,280,482,476,460
52,488,208,77,316,180,418,409,428,309
53,442,164,241,402,80,474,449,10,390
54,412,157,470,124,158,376,76,2,256
55,347,302,61,373,414,322,473,378,254
56,161,253,324,314,137,4,313,218,434
57,6,480,405,97,472,405,192,157,244
58,376,234,131,486,386,382,198,121,280
59,106,336,228,117,349,422,226,25,385
60,356,461,283,403,235,429,37,170,190
61,361,273,148,245,353,172,381,236,384
62,387,169,426,19,152,295,161,412,10
63,4,257,216,499,206,126,389,247,249
64,156,394,249,180,165,263,87,481,122
65,146,153,74,73,95,339,303,499,91
66,430,222,372,295,486,111,278,65,304
67,65,480,417,198,335,74,443,486,418
68,445,259,196,40,450,176,158,258,255
69,328,415,98,332,492,474,164,479,107
70,285,265,13,383,9,366,206,484,119
71,79,45,466,137,40,148,153,221,185
72,387,366,273,238,12,78,197,161,436
73,138,285,146,361,141,477,408,452,91
74,139,412,402,84,207,29,432,17,317
75,188,250,247,426,52,3,314,26,60
76,82,421,2,36,391,401,265,370,137
77,82,73,168,457,355,207,112,386,237
78,397,99,363,402,469,116,208,109,84
79,213,380,81,203,345,357,257,121,42
80,250,308,405,232,453,461,351,48,137
81,270,171,422,114,366,458,358,356,32
82,398,97,116,22,373,74,286,129,135
83,59,247,239,37,447,365,480,53,435
84,61,49,302,177,466,497,238,316,397
85,93,61,64,361,398,12,324,138,202
86,87,202,488,409,407,9,268,426,333
87,166,250,100,344,79,340,327,109,76
88,371,351,17,481,101,140,320,421,375
89,361,443,264,66,186,14,230,182,454
90,100,49,380,135,142,212,378,165,412
91,212,160,29,356,388,125,50,229,476
92,293,390,208,465,356,271,74,124,213
93,267,333,109,30,79,234,70,485,114
94,490,68,343,156,379,392,256,456,486
95,11,186,108,410,342,2,240,244,105
96,452,120,10,275,347,131,161,260,196
97,478,356,275,128,408,473,234,289,197
98,275,44,303,93,478,128,407,150,311
99,9,145,358,375,436,495,453,169,321
100,29,330,300,407,366,120,76,48,307
101,332,335,3,353,33,458,478,191,216
102,88,197,371,385,183,354,38,139,43
103,391,166,10,299,304,154,107,484,155
104,8,342,34,148,256,250,106,369,123
105,242,235,331,439,256,135,175,470,222
106,127,454,431,122,380,330,135,340,382
107,224,473,232,226,114,388,436,212,40
108,396,143,389,407,343,16,472,303,39
109,342,151,470,303,199,232,93,103,98
110,459,17,353,328,195,319,110,434,162
