,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,164,343,183,189,388,396,317,279,13
1,244,486,198,448,143,4,154,350,343
2,495,494,232,346,34,317,127,285,46
3,376,278,399,333,270,67,405,133,39
4,112,137,266,440,325,251,429,286,455
5,253,26,117,360,329,389,92,266,192
6,218,381,313,48,335,364,237,104,471
7,27,338,217,49,366,53,162,487,454
8,109,89,87,462,143,310,382,111,218
9,356,201,144,107,268,465,237,361,491
10,69,194,302,231,285,421,443,27,92
11,467,178,90,280,224,35,8,423,436
12,101,142,69,264,398,211,406,419,148
13,378,217,152,70,446,418,221,472,165
14,102,222,149,313,160,323,262,362,175
15,67,306,485,188,145,276,299,323,58
16,289,42,321,281,258,279,292,428,55
17,111,339,75,329,188,422,495,161,113
18,315,245,117,255,190,201,132,428,438
19,145,244,449,314,9,167,318,458,131
20,244,12,354,474,453,7,233,234,51
21,20,21,84,212,49,5,122,217,209
22,451,219,317,90,237,494,183,467,130
23,239,111,131,339,62,455,382,491,381
24,211,97,226,81,86,213,181,155,172
25,267,266,192,44,345,438,144,38,236
26,30,19,276,482,290,223,243,77,295
27,136,323,272,452,1,240,141,217,327
28,370,37,432,494,147,295,432,34,191
29,40,371,149,221,8,306,296,205,188
30,434,312,248,88,281,459,422,11,29
31,154,450,210,489,163,137,333,85,329
32,227,173,116,345,251,217,152,97,156
33,395,137,471,58,199,195,210,280,223
34,374,464,120,479,373,484,294,73,425
35,154,158,220,172,98,419,24,298,43
36,223,58,173,123,455,405,95,162,435
37,482,290,122,119,431,109,309,494,475
38,415,70,103,165,164,168,149,306,453
39,207,2,396,63,468,258,488,65,496
40,265,381,172,454,44,36,469,307,422
41,292,222,422,446,66,279,70,149,389
42,218,136,311,107,71,292,149,255,132
43,2,367,1,44,286,316,93,408,306
44,416,454,94,46,161,466,53,441,91
45,138,101,450,192,51,99,230,354,484
46,469,473,99,209,143,438,243,202,112
47,71,196,422,448,143,411,416,393,262
48,458,141,202,333,191,300,319,123,495
