,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,150,499,100,167,434,88,368,363,418
1,36,485,295,49,161,302,287,385,156
2,226,298,54,442,292,356,189,79,155
3,66,39,414,428,414,1,393,362,498
4,274,135,374,464,269,423,244,417,182
5,318,474,226,364,148,253,255,359,246
6,439,152,36,130,302,109,356,19,315
7,183,339,67,357,290,365,385,399,233
8,204,152,398,248,189,17,224,319,201
9,70,295,79,425,145,180,297,446,394
10,276,464,258,374,267,441,72,438,382
11,21,324,289,161,32,214,15,314,51
12,211,392,2,337,42,361,220,55,299
13,148,116,232,477,414,198,40,1,209
14,430,125,446,335,16,59,124,155,228
15,436,83,244,186,410,431,425,214,156
16,250,13,285,304,490,179,277,56,483
17,120,470,221,365,16,430,439,313,458
18,431,204,310,149,451,186,254,86,409
19,64,438,453,453,243,453,415,165,267
20,135,236,262,434,117,10,261,101,130
21,309,183,451,220,39,122,299,393,79
22,372,463,389,209,264,492,336,494,437
23,27,326,414,446,377,146,408,310,301
24,325,116,110,461,334,321,256,326,272
25,26,300,43,302,474,457,428,50,395
26,386,192,462,87,36,208,64,58,464
27,388,64,241,462,44,203,229,21,319
28,415,264,211,53,147,385,352,460,277
29,429,270,165,421,77,387,345,183,290
30,392,88,8,44,21,299,304,367,277
31,264,445,329,454,236,178,175,385,361
32,108,29,244,442,192,390,461,160,472
33,351,6,432,266,209,57,229,349,187
34,189,287,284,241,60,244,99,388,63
35,10,411,85,144,379,416,10,16,217
36,426,476,146,306,109,47,485,189,132
37,425,471,208,328,182,111,214,187,481
38,229,448,388,434,403,266,422,10,281
39,26,298,68,319,274,407,76,414,267
40,293,12,382,5,323,81,124,113,68
41,101,111,153,26,286,244,450,425,8
42,266,373,79,430,488,307,16,478,477
43,22,229,241,49,16,326,206,155,457
44,82,122,266,437,110,386,145,448,199
45,415,407,56,495,63,254,384,35,475
46,246,244,242,273,226,477,160,398,81
47,157,422,357,397,222,175,26,215,356
48,424,230,179,233,328,173,346,50,138
49,346,189,159,184,405,349,125,52,84
50,110,212,373,316,42,338,212,92,364
51,310,316,331,207,461,498,149,495,254
52,178,417,336,248,384,137,123,498,168
53,445,269,402,174,40,288,107,484,211
54,432,207,281,105,209,114,499,83,115
55,498,390,182,110,334,15,306,423,122
56,200,257,211,137,259,446,484,430,462
57,394,437,312,73,476,83,189,458,389
58,250,197,444,327,95,454,302,277,456
59,417,205,481,221,403,164,329,240,327
60,202,448,41,216,70,117,434,270,50
61,446,432,365,374,271,321,123,59,420
62,346,318,415,449,50,405,441,327,363
63,48,239,170,202,457,238,142,216,302
64,219,93,158,423,190,121,498,209,328
65,417,19,17,40,79,340,277,27,178
66,119,28,234,447,445,454,423,328,279
67,279,257,403,13,99,334,230,492,391
68,341,268,84,228,479,199,392,145,37
69,398,410,157,354,14,138,11,188,390
70,227,75,128,431,15,403,421,215,183
71,75,439,201,417,209,240,293,122,231
72,95,127,377,75,268,56,148,12,132
73,267,290,99,248,252,384,435,348,315
74,199,55,12,197,461,321,461,58,252
75,234,30,299,212,484,122,117,266,427
76,37,125,153,73,26,471,393,65,418
77,300,63,90,160,162,406,187,439,358
78,177,376,420,435,476,398,405,490,63
79,446,459,72,425,262,298,154,448,191
80,27,215,371,309,404,279,412,473,455
81,497,381,358,241,124,29,204,162,379
82,197,148,325,344,479,414,105,357,118
83,299,400,353,310,490,3,337,8,92
84,464,70,405,138,335,388,225,9,279
85,184,151,274,306,106,420,300,341,463
86,129,272,466,376,214,151,455,24,402
87,422,484,270,50,266,50,97,225,478
88,1,350,312,82,308,469,137,360,432
89,425,43,154,430,267,344,399,30,431
90,231,404,228,345,440,408,262,196,144
91,248,188,91,437,310,249,38,35,364
92,489,335,70,327,245,310,483,332,63
93,451,450,170,86,9,415,265,386,482
94,99,381,304,21,376,407,31,34,404
95,343,188,465,15,128,335,244,8,384
96,14,384,307,465,169,208,41,360,355
97,191,357,60,16,1,94,378,381,118
98,108,84,255,48,460,5,6,213,123
99,128,488,405,413,206,31,240,88,395
100,2,393,251,460,379,143,397,267,333
101,292,428,440,462,46,273,488,482,314
102,109,37,16,36,325,231,83,202,142
103,167,294,150,209,431,124,428,458,371
104,132,437,312,216,326,347,295,45,433
105,448,21,327,300,70,149,76,49,444
106,239,18,247,247,285,269,273,228,335
107,364,206,266,43,409,192,102,468,447
108,118,492,386,211,246,336,228,286,283
109,22,277,405,290,408,440,290,205,399
110,449,120,189,187,201,80,220,486,53
111,72,212,179,136,34,264,212,79,308
112,388,149,374,210,164,149,125,139,98
113,475,319,227,293,16,226,219,77,316
114,478,184,34,445,414,130,205,432,371
115,37,215,300,216,309,8,354,179,498
116,394,44,148,120,345,238,237,50,477
117,147,92,338,402,15,266,404,362,360
118,94,427,432,321,85,415,87,23,312
119,481,343,268,138,451,460,169,479,468
120,223,97,284,145,273,294,213,385,74
121,347,366,118,401,46,60,68,496,339
122,27,41,346,122,108,95,362,471,336
123,385,150,166,257,124,331,257,498,450
124,141,292,193,486,145,291,224,122,182
125,420,186,244,370,295,306,142,81,463
126,295,122,4,224,376,395,424,426,48
127,95,378,330,207,279,165,372,136,113
128,456,155,180,61,178,383,42,220,257
129,344,281,349,20,137,81,474,360,231
130,477,9,98,265,202,220,489,339,377
131,439,19,279,349,452,137,205,33,369
132,90,321,294,71,309,276,152,172,182
133,207,489,122,467,240,74,257,499,91
134,338,86,204,297,7,335,266,1,291
135,257,61,193,415,362,102,468,373,181
136,80,248,438,490,482,381,243,103,82
137,75,270,164,485,366,334,146,466,479
138,277,132,78,170,476,306,451,337,280
139,190,289,69,324,253,231,258,33,183
140,6,450,423,80,114,403,82,102,431
141,350,158,355,89,106,374,458,70,473
142,85,105,365,207,456,34,300,180,265
143,37,289,33,404,495,6,242,265,76
144,287,124,378,85,54,95,112,285,236
145,472,150,204,413,436,493,315,309,130
146,353,35,263,75,166,172,196,345,304
147,159,135,48,434,198,218,153,126,89
148,471,447,458,18,131,456,306,253,469
149,490,291,399,194,196,38,8,423,469
150,312,61,395,182,233,141,429,380,417
151,281,74,215,485,28,314,383,230,107
152,380,75,177,465,185,318,411,92,205
153,349,336,363,301,389,337,309,454,450
154,301,349,417,433,278,390,125,468,21
155,156,483,169,204,22,487,96,329,64
156,409,197,6,204,162,47,139,458,176
157,244,337,146,313,246,341,308,136,38
158,168,359,453,296,260,421,378,91,306
159,375,285,109,387,82,132,215,381,488
160,360,252,457,280,294,12,104,440,427
161,156,239,359,256,44,478,34,221,448
162,433,109,10,37,438,431,245,62,71
163,114,222,79,325,127,51,163,383,426
