,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,381,232,350,397,475,90,46,451,182
1,174,397,368,80,421,60,404,81,172
2,272,373,366,301,107,121,247,59,79
3,438,451,91,497,478,155,269,279,121
4,246,451,310,237,497,162,35,477,8
5,238,424,457,227,392,471,224,195,429
6,172,297,38,489,218,410,163,237,216
7,495,248,486,408,270,290,498,31,418
8,293,342,66,292,32,36,41,404,94
9,422,324,172,26,40,438,278,49,294
10,80,459,107,446,143,303,56,302,148
11,404,74,3,379,102,445,291,401,167
12,480,370,430,136,231,161,441,63,451
13,29,480,78,261,240,45,475,481,289
14,87,260,452,253,8,317,458,265,238
15,200,203,148,270,278,487,139,297,201
16,57,437,448,375,323,96,135,177,457
17,42,477,134,218,104,207,37,298,268
18,450,189,488,316,47,306,458,452,283
19,440,29,213,472,407,94,268,29,99
20,480,327,467,395,135,242,257,488,205
21,236,100,464,34,403,130,419,160,371
22,266,177,103,433,139,76,475,160,196
23,6,151,155,323,202,170,190,293,325
24,453,438,112,195,116,98,125,172,309
25,118,38,393,135,363,428,194,343,208
26,27,359,100,380,219,179,4,43,452
27,115,89,161,209,398,205,363,395,36
28,461,400,95,493,437,153,40,53,256
29,121,394,312,108,286,254,450,177,169
30,303,414,422,216,193,496,52,335,212
31,444,263,155,217,488,225,261,26,151
32,385,425,82,484,389,233,346,75,320
33,1,241,223,346,451,92,158,292,345
34,205,174,47,488,147,367,139,317,209
35,86,445,63,120,134,458,414,389,71
36,421,295,462,181,350,325,203,290,76
37,434,10,307,82,461,194,389,146,339
38,403,458,497,486,255,255,325,466,121
39,233,459,257,443,384,466,114,153,73
40,488,2,403,190,395,66,295,383,353
41,416,7,396,283,396,452,201,23,241
42,10,203,366,240,409,467,275,111,14
43,216,160,128,259,29,335,443,295,111
44,403,389,44,376,452,492,125,70,368
45,495,212,183,195,437,97,58,55,472
46,418,443,185,131,14,484,117,354,445
47,268,429,196,379,392,24,151,286,399
48,256,299,71,444,113,485,336,306,286
49,27,349,310,240,193,44,325,192,185
50,14,143,374,174,420,281,430,52,334
51,295,260,416,264,252,188,411,364,6
52,72,137,446,109,101,59,456,110,44
53,313,332,443,104,395,245,33,147,52
54,368,58,494,48,284,333,172,475,116
55,258,112,68,236,170,124,372,259,28
56,117,258,2,425,332,217,390,362,207
57,155,410,466,247,224,86,136,69,195
58,419,494,108,246,343,377,53,419,414
59,199,137,415,237,192,148,101,451,2
60,255,454,78,168,237,220,377,163,271
61,247,286,386,413,422,284,474,247,477
62,98,463,422,170,446,163,104,496,188
63,248,135,424,257,198,168,294,393,318
64,143,423,486,154,142,336,297,156,157
65,460,129,100,51,153,483,409,338,178
66,66,417,333,77,47,173,415,291,327
67,270,148,71,135,349,138,91,112,143
68,274,472,67,22,280,321,375,102,244
69,49,169,257,262,108,219,379,20,7
70,337,135,109,164,119,453,426,464,486
71,456,331,231,453,334,496,172,111,477
72,95,255,369,260,320,250,462,386,110
73,51,383,279,441,236,166,406,374,380
74,16,23,434,89,464,229,497,332,24
75,87,300,346,88,15,162,421,217,122
76,442,435,183,162,8,7,337,153,41
77,189,158,137,228,100,28,180,317,214
78,409,399,217,359,426,386,328,193,315
79,488,28,337,72,397,314,221,230,134
80,76,125,487,354,96,210,114,64,484
81,284,429,249,270,104,287,274,295,462
82,301,114,388,259,35,325,20,155,483
83,155,128,295,419,223,107,300,94,17
84,209,160,107,14,475,243,234,178,408
85,194,242,160,120,85,218,458,332,391
86,446,154,17,166,284,194,53,16,236
87,353,17,114,430,100,434,121,87,282
88,132,32,276,440,96,120,350,359,481
89,41,291,238,442,174,181,393,94,6
90,349,423,103,181,188,60,499,407,213
91,497,413,407,194,1,95,158,258,9
92,274,36,396,493,164,416,368,267,253
93,428,129,61,275,47,346,224,81,332
94,393,51,324,109,262,184,76,445,314
95,272,450,394,347,194,135,431,395,33
96,423,473,425,391,238,33,156,432,102
97,236,122,499,165,472,343,69,269,287
98,406,44,300,406,446,113,176,118,367
99,378,158,429,185,101,305,144,354,478
100,209,284,95,221,213,53,56,406,470
101,372,200,135,485,50,253,321,223,416
102,99,128,388,87,451,438,499,89,386
103,479,438,422,138,5,446,454,470,191
104,200,60,230,319,306,331,272,76,234
105,318,14,298,47,486,68,37,190,176
106,9,135,170,416,180,105,252,215,470
107,483,426,124,280,459,67,17,3,136
108,277,340,64,229,325,490,90,396,447
109,68,445,54,43,149,365,171,46,491
110,139,456,242,314,215,247,216,35,457
111,367,236,108,488,209,394,61,31,243
112,54,62,452,111,180,44,82,35,230
113,252,180,116,108,303,207,172,466,273
114,164,345,355,19,60,101,386,368,147
115,130,396,105,231,450,127,244,108,71
116,130,12,56,259,61,390,430,52,181
117,314,153,77,496,279,388,386,57,293
118,266,284,271,58,434,254,100,48,157
119,226,231,227,337,410,113,455,219,273
120,441,88,22,375,209,465,22,61,477
121,497,305,19,312,243,109,222,421,422
122,307,197,147,28,466,45,417,233,264
123,361,59,275,240,454,481,486,76,416
124,386,492,71,8,30,293,280,79,223
