,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,388,445,311,370,97,16,362,96,234
1,121,6,269,144,282,46,346,50,4
2,391,50,302,419,314,339,312,229,394
3,423,64,37,375,195,42,54,468,181
4,235,16,229,21,158,289,45,11,130
5,272,266,387,334,252,45,306,110,268
6,330,268,468,312,75,480,150,236,341
7,219,188,403,87,413,284,43,6,325
8,201,485,48,480,275,384,439,295,289
9,415,328,152,410,289,455,21,242,308
10,333,276,78,73,225,102,444,384,374
11,11,190,140,421,487,198,71,367,437
12,491,128,422,306,51,114,104,219,31
13,380,319,460,459,239,165,136,380,481
14,166,125,198,410,3,433,348,209,250
15,254,273,293,274,382,96,257,333,350
16,84,487,418,385,206,210,258,498,247
17,121,259,220,478,115,3,50,288,141
18,52,139,436,236,220,152,323,186,25
19,171,131,468,458,49,237,439,246,36
20,142,6,263,318,52,152,280,155,453
21,264,54,422,216,61,229,350,78,2
22,27,50,125,392,380,434,366,375,310
23,264,465,200,411,49,212,315,338,13
24,60,281,92,59,229,86,366,411,74
25,487,275,468,51,15,190,141,97,246
26,398,470,156,257,399,284,91,369,35
27,451,127,88,149,273,139,92,187,482
28,101,20,4,103,413,466,353,490,430
29,338,90,450,85,199,77,418,145,129
30,455,231,340,217,312,245,471,51,68
31,211,74,315,170,319,314,96,213,393
32,286,59,392,388,196,230,198,209,256
33,299,100,267,229,47,185,106,129,159
34,79,66,452,252,432,107,26,468,98
35,479,319,153,209,45,439,103,241,392
36,241,246,479,81,344,103,467,436,343
37,421,127,95,207,485,23,495,377,114
38,343,322,416,475,196,199,294,213,267
39,412,292,277,192,485,46,298,45,289
40,381,316,342,115,332,156,219,496,299
41,328,457,82,163,316,412,235,341,319
42,329,73,338,393,414,130,29,283,387
43,141,268,137,85,214,296,263,393,9
44,93,43,305,458,30,167,11,341,300
45,246,22,414,272,158,496,406,366,18
46,360,363,459,401,22,330,479,207,421
47,105,408,281,444,50,149,95,106,345
48,250,188,271,237,367,225,226,2,320
49,463,50,140,36,351,462,319,192,55
50,148,484,179,464,262,98,328,115,154
51,197,105,84,296,270,260,401,351,373
52,66,353,117,216,484,442,362,456,56
53,404,58,134,428,435,230,170,70,306
54,25,3,481,149,286,418,139,23,159
55,459,320,167,139,167,239,391,112,492
56,306,65,36,473,386,66,143,419,229
57,447,445,442,346,476,141,492,136,432
58,173,112,211,208,194,453,135,365,230
59,344,264,130,158,434,155,388,219,176
60,454,146,238,292,443,243,383,386,207
61,74,398,152,368,285,42,255,352,387
62,396,433,409,194,274,87,31,111,255
63,195,446,93,206,123,54,206,120,470
64,24,268,353,252,114,389,86,497,316
65,177,408,469,374,455,490,316,492,297
66,469,109,365,382,220,63,438,248,458
67,90,350,359,69,464,141,484,386,155
68,273,435,143,17,278,241,428,317,412
69,166,130,344,87,176,79,340,251,118
70,24,126,406,28,410,137,209,2,384
71,307,398,168,475,334,213,211,151,317
72,101,383,48,454,396,23,26,106,152
73,89,231,304,47,325,42,285,304,42
74,35,185,465,214,430,473,237,25,445
75,74,238,65,218,392,484,359,481,314
76,42,64,239,324,35,136,76,80,189
77,258,11,211,120,1,321,366,490,351
78,413,36,291,82,47,234,439,352,285
79,149,9,325,230,20,435,185,264,117
80,266,125,209,22,300,486,85,201,117
81,349,67,350,453,21,74,342,335,64
82,50,411,364,13,337,237,363,447,242
83,274,392,188,49,94,304,170,419,473
84,115,389,149,232,339,285,349,418,124
85,89,328,65,127,105,260,199,426,359
86,131,491,331,351,146,400,338,377,1
87,192,91,360,158,105,204,28,19,414
88,374,340,156,24,306,260,273,7,107
89,52,206,410,204,326,35,343,343,420
90,486,55,499,304,233,339,333,87,226
91,82,421,299,366,18,57,131,472,436
92,359,397,41,11,255,131,195,30,218
93,153,62,451,455,429,209,360,422,479
94,247,204,142,263,23,447,26,496,234
95,53,170,360,177,210,239,463,439,155
96,261,135,53,228,242,377,494,184,185
97,473,386,299,210,250,482,345,411,205
98,223,272,216,370,287,307,179,297,274
99,258,237,179,157,475,286,296,495,54
100,98,43,326,314,98,176,404,222,367
101,499,202,185,147,163,312,6,461,46
102,31,71,126,277,125,24,35,267,43
103,42,167,319,391,312,14,376,275,18
104,363,278,269,79,34,210,179,208,306
105,354,64,29,23,356,328,108,496,345
106,242,382,427,144,330,145,323,23,371
107,481,426,160,325,402,420,480,49,130
108,352,375,159,239,97,277,221,468,415
109,395,47,331,277,6,147,213,376,106
110,24,494,457,467,267,113,307,306,264
111,313,155,11,186,365,121,444,419,308
112,193,125,320,198,11,422,201,228,322
113,412,114,167,491,51,448,10,137,85
114,198,174,333,353,338,226,176,30,287
115,395,53,187,421,206,217,123,13,484
116,234,104,241,301,342,185,98,103,352
117,45,98,458,373,35,342,107,360,258
118,360,384,77,395,285,4,34,45,341
119,183,99,66,387,459,470,245,441,390
120,277,200,491,107,186,24,194,419,6
121,409,188,359,110,19,150,204,320,435
122,435,94,289,176,160,68,257,435,457
123,339,162,39,290,320,277,405,247,451
124,455,31,485,95,307,107,161,329,459
125,408,203,10,331,8,290,146,64,334
126,403,308,445,374,123,19,120,2,160
127,102,470,49,194,356,27,468,311,21
128,260,453,275,54,421,222,285,261,372
129,466,497,8,483,111,99,243,427,270
130,84,247,266,299,261,424,285,309,309
131,307,2,173,277,368,172,42,89,118
132,258,67,41,304,92,236,310,431,257
133,182,276,250,225,494,266,194,392,320
134,46,293,360,83,124,433,192,182,253
135,89,101,497,31,7,460,53,5,225
136,363,445,68,49,459,207,23,14,374
137,412,448,305,218,447,485,58,91,30
138,284,34,233,163,452,254,448,109,264
139,398,86,240,496,277,128,367,26,97
140,385,176,113,263,489,74,49,283,75
141,96,304,29,64,90,368,349,151,324
142,420,294,171,133,481,392,407,170,447
143,62,208,65,39,401,307,319,13,97
144,185,416,309,91,237,482,97,472,185
145,178,5,13,365,246,29,354,483,416
146,211,283,325,148,476,341,4,378,372
147,457,207,420,389,92,37,333,453,77
148,494,78,84,221,436,17,185,396,252
149,109,470,239,88,447,24,416,111,60
150,129,342,433,135,13,187,283,221,447
151,33,254,291,456,145,201,448,306,184
152,161,287,116,52,111,445,12,278,476
153,259,271,362,76,498,357,82,208,11
154,269,395,58,490,5,6,419,428,328
155,312,22,23,68,460,422,433,14,149
156,338,163,285,12,279,387,238,356,3
157,430,300,309,174,141,23,447,12,117
158,200,393,370,429,60,147,140,185,71
159,244,33,404,354,361,409,398,312,384
160,330,422,54,351,172,143,260,51,116
161,79,168,154,148,138,421,400,91,269
162,326,210,4,280,228,287,63,24,479
163,106,150,81,353,486,385,351,169,414
164,247,402,166,57,130,375,255,409,292
165,408,491,247,33,367,422,499,350,331
166,497,471,351,175,59,110,303,454,271
167,138,38,192,142,347,302,351,144,336
168,435,409,242,191,286,36,258,472,190
169,8,334,147,334,363,318,21,326,85
170,360,64,434,87,177,294,145,186,259
171,470,215,50,338,436,464,31,192,383
172,77,222,51,296,452,275,34,421,452
173,221,420,123,211,74,167,342,141,155
174,306,410,271,298,444,306,300,93,290
175,264,326,382,417,173,281,276,145,184
176,304,327,355,3,472,488,163,331,436
177,269,129,359,8,194,314,31,472,132
178,270,387,173,170,154,178,327,287,395
179,31,388,174,375,463,428,60,206,33
180,62,416,266,43,271,147,464,152,291
181,368,225,83,53,162,466,225,406,457
182,435,307,186,76,116,252,309,61,131
183,81,298,131,269,425,421,310,307,280
184,171,490,403,36,92,257,431,256,81
185,209,363,281,478,435,343,303,103,260
186,380,298,76,1,147,312,222,167,445
187,66,53,235,446,265,360,467,173,447
188,137,81,419,184,161,123,466,61,278
189,185,46,225,154,147,392,477,191,330
190,111,175,312,80,235,490,480,376,2
191,446,249,319,419,149,425,437,79,462
192,498,232,452,131,12,468,278,361,88
193,40,161,111,247,429,287,44,17,171
194,378,289,430,242,70,385,199,200,179
195,476,213,341,313,126,222,30,9,351
196,177,250,109,97,97,483,394,39,441
197,75,210,391,127,358,349,465,47,261
198,301,458,168,171,476,460,406,295,84
199,32,130,67,200,102,189,120,207,461
200,333,344,143,212,120,472,404,153,471
201,135,376,341,90,270,163,187,301,156
