,Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
0,318,70,111,188,132,424,168,17,193
1,189,208,310,181,440,295,466,306,169
2,270,285,260,265,205,381,300,2,383
3,239,428,146,444,341,277,470,382,408
4,175,298,41,357,152,341,139,137,324
5,175,35,347,435,428,211,222,38,203
6,493,331,196,67,287,366,420,467,315
7,340,385,303,127,289,306,262,100,459
8,178,116,264,62,236,484,38,191,266
9,240,42,85,72,414,69,456,105,407
10,277,460,265,13,351,5,337,56,319
11,152,381,57,214,323,117,411,125,224
12,350,473,265,7,280,297,337,364,220
13,352,214,384,205,381,126,434,460,33
14,198,351,339,389,330,303,120,257,385
15,297,464,402,297,449,100,13,17,464
16,314,464,442,332,370,295,493,386,193
17,318,494,164,233,283,154,276,333,358
18,43,65,324,211,168,273,337,485,42
19,219,208,158,228,28,201,468,212,313
20,293,3,83,107,415,487,250,103,154
21,242,290,171,408,442,308,27,298,449
22,21,434,297,416,24,476,277,460,353
23,1,334,352,455,268,272,149,33,113
24,312,456,203,164,236,173,498,389,455
25,138,329,288,101,51,322,175,176,394
26,301,417,452,7,90,386,346,328,351
27,273,62,243,443,399,136,348,330,443
28,132,199,35,40,329,364,446,461,67
29,199,185,214,311,405,113,111,162,27
30,335,104,301,327,22,196,434,409,70
31,488,455,397,172,116,362,18,125,409
32,421,468,170,77,262,355,315,330,139
33,139,14,330,384,346,381,409,458,4
34,201,137,390,244,393,209,343,194,1
35,202,59,409,441,443,222,454,44,388
36,31,412,25,416,37,164,298,102,227
37,337,473,148,397,16,377,20,253,50
38,163,30,60,436,423,495,231,379,36
39,160,259,357,121,168,233,322,251,378
40,10,356,81,490,116,454,487,259,166
41,17,33,53,300,233,1,117,51,125
42,33,406,380,469,202,330,37,305,198
43,118,363,430,128,398,392,349,87,130
44,266,408,403,58,285,276,394,284,96
45,203,73,344,64,143,73,323,488,4
46,137,304,398,78,393,14,406,180,207
47,227,205,36,177,294,174,110,13,51
48,67,427,198,171,59,232,249,437,230
49,329,358,127,420,203,49,1,105,417
50,438,342,241,171,51,96,251,396,429
51,459,340,112,36,385,331,95,326,143
52,348,26,428,257,68,387,231,414,23
53,328,382,67,323,223,375,490,119,435
54,430,158,417,29,478,376,393,301,448
55,214,242,404,434,347,126,496,466,234
56,209,242,462,59,421,456,198,492,4
57,422,319,42,176,24,12,260,129,363
58,64,401,359,483,363,478,74,63,418
59,284,159,151,478,215,273,204,391,53
60,468,457,161,153,342,7,304,215,235
61,264,327,273,39,240,366,128,349,71
62,273,326,83,438,128,445,245,295,477
63,99,495,446,49,491,274,333,387,147
64,479,97,300,279,373,264,232,113,487
65,120,99,428,318,262,195,437,236,184
66,245,198,461,99,465,19,112,149,42
67,406,382,111,298,281,304,353,337,408
68,456,173,370,354,341,18,402,111,303
